index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.57722765,0.4304105,0.20996454,0.8776207,0.6676562
4,throw,4,clean,1.0,0.6614908,0.3385092,0.27597952,0.9659377,0.68995816
10,gait,10,asymmetry,0.7657848000526428,0.84199274,0.076207936,0.5193006,1.0593243,0.5400237
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.665136,0.19912916,0.29001847,0.97407186,0.6840534
18,lunge,18,jerk+rom,0.6231351494789124,0.6387956,0.015660465,0.231206,0.993826,0.76262
21,squat,21,asymmetry,0.7286849617958069,0.73269,0.004005015,0.3436175,1.0257976,0.6821801
26,gait,2,instability+rom,0.6223016381263733,0.5723772,0.049924433,0.20121735,0.87607604,0.6748587
28,overhead_press,4,compensation,0.6191835999488831,0.65689903,0.037715435,0.3021801,0.95007306,0.64789295
34,squat,10,compensation,0.796288013458252,0.84346586,0.04717785,0.61710864,1.0675422,0.45043355
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.72487265,0.06837803,0.3634437,0.97306144,0.6096177
42,lunge,18,clean,1.0,0.62330604,0.37669396,0.21708494,0.98735857,0.7702736
45,gait,21,rom+tempo,0.6019501090049744,0.627317,0.025366902,0.27672756,0.8949675,0.61823994
50,lunge,2,asymmetry,0.6527721881866455,0.7275005,0.07472831,0.3488481,1.0112963,0.66244817
52,throw,4,clean,1.0,0.6922325,0.3077675,0.31290954,0.992029,0.67911947
58,throw,10,jerk,0.9456272125244141,0.7791001,0.16652709,0.43857253,1.0472782,0.60870564
59,throw,11,rom,0.9367360472679138,0.770223,0.16651303,0.39939663,1.0360767,0.63668
66,lunge,18,tempo,0.8553433418273926,0.5955844,0.25975895,0.17083049,0.95279163,0.78196114
69,gait,21,instability+rom,0.4477442800998688,0.5243512,0.0766069,0.22092777,0.8320997,0.6111719
74,lunge,2,instability+jerk,0.6647371053695679,0.68896556,0.024228454,0.30351382,0.98837,0.6848562
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7098553,0.046641886,0.3109309,0.99332154,0.68239063
82,gait,10,tempo,0.8107673525810242,0.6099572,0.20081013,0.2399461,0.87312245,0.6331763
83,gait,11,instability+jerk+rom,0.4363165497779846,0.7324609,0.29614437,0.38560197,0.9841548,0.5985528
90,lunge,18,clean,1.0,0.6565209,0.3434791,0.2596565,0.99940985,0.73975337
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.72388774,0.14804655,0.34857038,1.0171227,0.6685524
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.6817995,0.22262168,0.3074673,0.9739332,0.6664659
100,throw,4,instability,0.7168699502944946,0.4999661,0.21690384,0.23796749,0.7808491,0.5428816
106,gait,10,rom+tempo,0.5957818627357483,0.7174855,0.121703625,0.3631099,0.9465455,0.5834356
107,overhead_press,11,jerk,0.9368828535079956,0.74452376,0.19235909,0.38359866,1.0024515,0.61885285
114,overhead_press,18,jerk,0.8139992356300354,0.69184023,0.122159004,0.32043675,0.9915135,0.6710768
117,throw,21,clean,1.0,0.7292024,0.2707976,0.3450385,1.0169263,0.67188776
122,squat,2,clean,1.0,0.7731292,0.22687078,0.41501793,1.0360401,0.6210221
124,overhead_press,4,asymmetry,0.7296754121780396,0.72786605,0.0018093586,0.36643916,0.9922046,0.62576544
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.56921256,0.1398268,0.19419017,0.8541428,0.65995264
131,lunge,11,tempo,0.8352254033088684,0.6575811,0.17764431,0.28830042,0.9728159,0.6845155
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.57802105,0.09122738,0.24726069,0.844998,0.5977373
141,lunge,21,rom,0.8736799359321594,0.73100615,0.14267379,0.35093102,1.0217011,0.67077005
146,overhead_press,2,instability,0.8017282485961914,0.6885675,0.11316073,0.3247373,0.9471978,0.6224605
148,overhead_press,4,clean,1.0,0.7636291,0.23637092,0.4074842,1.0192827,0.6117985
154,throw,10,compensation,0.6015304923057556,0.7688849,0.1673544,0.42038175,1.0421263,0.6217445
155,throw,11,instability+jerk,0.8403570055961609,0.73073936,0.10961765,0.36052573,0.99944633,0.6389206
162,throw,18,instability+tempo,0.6316795945167542,0.63892233,0.007242739,0.2627746,0.9880736,0.725299
165,gait,21,asymmetry,0.9303615689277649,0.7986839,0.13167769,0.4627713,1.0175368,0.55476546
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.6947814,0.0020173192,0.29551494,0.9962232,0.70070827
172,throw,4,compensation+instability,0.658443808555603,0.6013317,0.057112098,0.22995755,0.9274751,0.6975175
178,throw,10,instability,0.7625966668128967,0.6970938,0.06550288,0.33023858,0.95166063,0.62142205
179,overhead_press,11,instability,0.7835549116134644,0.613594,0.16996092,0.27794078,0.8989477,0.62100697
186,overhead_press,18,instability,0.8124698996543884,0.5828409,0.22962898,0.24723488,0.87778956,0.6305547
189,overhead_press,21,clean,1.0,0.77057076,0.22942924,0.38974604,1.0009842,0.6112381
194,throw,2,clean,1.0,0.703585,0.29641497,0.3266643,0.98098326,0.6543189
196,gait,4,instability+jerk,0.6014768481254578,0.52121943,0.080257416,0.23390204,0.79919505,0.565293
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.7254815,0.11075705,0.3944488,1.0269881,0.6325394
203,overhead_press,11,compensation+instability,0.5034309029579163,0.7121054,0.20867449,0.34129113,0.95330197,0.61201084
210,lunge,18,clean,1.0,0.68077624,0.31922376,0.26247442,0.9928833,0.7304089
213,gait,21,asymmetry+rom,0.49997907876968384,0.7046903,0.2047112,0.3518644,0.9463976,0.5945332
218,lunge,2,clean,1.0,0.72199696,0.27800304,0.33716047,1.0094776,0.67231715
220,squat,4,compensation+jerk,0.47195813059806824,0.7750405,0.30308238,0.43341216,1.0393215,0.60590935
226,gait,10,jerk,0.9328513145446777,0.8386797,0.09417164,0.51021564,1.0440338,0.5338181
227,overhead_press,11,tempo,0.8584722280502319,0.79033375,0.06813848,0.4403807,1.0391226,0.5987419
234,lunge,18,asymmetry,0.6582695245742798,0.66569257,0.0074230433,0.25585163,0.9864778,0.73062617
237,throw,21,clean,1.0,0.69032645,0.30967355,0.29740977,0.99243546,0.6950257
242,gait,2,clean,1.0,0.78328377,0.21671623,0.4281959,1.0061796,0.5779837
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.5035502,0.036167085,0.20018333,0.7823691,0.58218575
250,throw,10,clean,1.0,0.76248235,0.23751765,0.41042483,1.036432,0.6260072
251,throw,11,asymmetry+instability,0.6759362816810608,0.65741754,0.018518746,0.29871967,0.97077465,0.672055
258,gait,18,instability,0.8515012860298157,0.6114885,0.24001276,0.26782888,0.895928,0.62809914
261,gait,21,jerk,0.847970187664032,0.75959814,0.08837205,0.41987872,0.99933505,0.5794563
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.7253117,0.049759924,0.3486853,1.0008801,0.65219486
268,lunge,4,asymmetry+rom,0.599364697933197,0.7196908,0.1203261,0.34277582,1.0135937,0.67081785
274,squat,10,asymmetry,0.9371042251586914,0.8253773,0.11172694,0.59154594,1.0558873,0.4643414
275,squat,11,asymmetry,0.7198100090026855,0.75751865,0.03770864,0.39045715,1.0254742,0.63501704
282,gait,18,jerk+rom,0.5802179574966431,0.624187,0.043969035,0.2970274,0.90685844,0.60983104
285,overhead_press,21,tempo,0.7571746706962585,0.7418035,0.015371144,0.35762364,0.99310344,0.6354798
290,squat,2,clean,1.0,0.7808482,0.2191518,0.43503475,1.046149,0.61111426
292,gait,4,compensation,0.6597895622253418,0.64158297,0.018206596,0.2999026,0.88822937,0.5883268
298,lunge,10,rom,0.8551280498504639,0.7467414,0.108386636,0.4011272,1.0334266,0.6322994
299,overhead_press,11,clean,1.0,0.727613,0.27238703,0.3573837,1.0016801,0.6442964
