index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.6344277,0.48761058,0.26721528,0.90879714,0.6415819
4,throw,4,clean,1.0,0.6787468,0.32125318,0.33095405,0.9980751,0.66712105
10,gait,10,asymmetry,0.7657848000526428,0.87209743,0.10631263,0.55533606,1.133014,0.5776779
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.6858434,0.2198366,0.32714617,0.95296764,0.6258215
18,lunge,18,jerk+rom,0.6231351494789124,0.7121158,0.088980675,0.31025684,0.9859619,0.6757051
21,squat,21,asymmetry,0.7286849617958069,0.7864491,0.057764113,0.40315798,1.0612833,0.6581254
26,gait,2,instability+rom,0.6223016381263733,0.62852544,0.006223798,0.25914738,0.90378475,0.64463735
28,overhead_press,4,compensation,0.6191835999488831,0.6915734,0.07238978,0.30489805,0.92817664,0.6232786
34,squat,10,compensation,0.796288013458252,0.9350421,0.13875407,0.69930613,1.224816,0.52550983
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7414383,0.05181235,0.39125475,1.0180291,0.6267743
42,lunge,18,clean,1.0,0.68686205,0.31313795,0.29079244,0.97370493,0.68291247
45,gait,21,rom+tempo,0.6019501090049744,0.669639,0.06768888,0.31013498,0.93393874,0.62380373
50,lunge,2,asymmetry,0.6527721881866455,0.7458297,0.09305751,0.38159448,1.0148265,0.63323206
52,throw,4,clean,1.0,0.715145,0.284855,0.3345435,0.98801434,0.6534709
58,throw,10,jerk,0.9456272125244141,0.788628,0.15699923,0.43018058,1.0164769,0.5862963
59,throw,11,rom,0.9367360472679138,0.768537,0.16819906,0.4096392,1.0416971,0.6320579
66,lunge,18,tempo,0.8553433418273926,0.6800101,0.17533326,0.26248062,0.9577369,0.6952563
69,gait,21,instability+rom,0.4477442800998688,0.5576791,0.10993484,0.20394287,0.7912483,0.5873054
74,lunge,2,instability+jerk,0.6647371053695679,0.72488457,0.060147464,0.341247,1.0009742,0.6597272
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7449548,0.08174139,0.3797846,1.037945,0.65816045
82,gait,10,tempo,0.8107673525810242,0.6546059,0.15616143,0.29936406,0.89971447,0.6003504
83,gait,11,instability+jerk+rom,0.4363165497779846,0.8432387,0.40692216,0.4940732,1.0818279,0.58775467
90,lunge,18,clean,1.0,0.7222579,0.2777421,0.32391736,0.997699,0.67378163
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.69416875,0.11832756,0.35399684,1.0345899,0.680593
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.64485687,0.18567908,0.28715193,0.97116345,0.6840115
100,throw,4,instability,0.7168699502944946,0.53914404,0.17772591,0.27345234,0.7899268,0.5164745
106,gait,10,rom+tempo,0.5957818627357483,0.80170524,0.20592338,0.44539997,1.0489638,0.6035638
107,overhead_press,11,jerk,0.9368828535079956,0.7903926,0.14649028,0.4165045,1.0382588,0.6217543
114,overhead_press,18,jerk,0.8139992356300354,0.68550056,0.12849867,0.2995343,0.9548495,0.65531516
117,throw,21,clean,1.0,0.712326,0.287674,0.3481112,1.0076716,0.6595604
122,squat,2,clean,1.0,0.8565175,0.1434825,0.51313925,1.1302767,0.61713743
124,overhead_press,4,asymmetry,0.7296754121780396,0.726992,0.002683401,0.35343564,1.0111411,0.6577054
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.6698655,0.24047974,0.279256,0.87441385,0.59515786
131,lunge,11,tempo,0.8352254033088684,0.73924965,0.09597576,0.3680416,0.98941946,0.6213778
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.5540471,0.06725344,0.21260071,0.79749775,0.58489704
141,lunge,21,rom,0.8736799359321594,0.79486644,0.07881349,0.42174613,1.0401638,0.6184176
146,overhead_press,2,instability,0.8017282485961914,0.6517338,0.14999443,0.2594971,0.89766943,0.6381723
148,overhead_press,4,clean,1.0,0.76344806,0.23655194,0.39414576,1.0168866,0.62274086
154,throw,10,compensation,0.6015304923057556,0.79398876,0.19245827,0.43514532,1.0101017,0.57495636
155,throw,11,instability+jerk,0.8403570055961609,0.7019602,0.1383968,0.34442037,0.9947874,0.650367
162,throw,18,instability+tempo,0.6316795945167542,0.6244107,0.0072689056,0.25574148,0.9566255,0.70088404
165,gait,21,asymmetry,0.9303615689277649,0.8187986,0.11156297,0.4579198,1.0797302,0.6218103
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.7104701,0.013671339,0.33882973,0.99939203,0.6605623
172,throw,4,compensation+instability,0.658443808555603,0.6115405,0.046903312,0.26877198,0.95264673,0.6838747
178,throw,10,instability,0.7625966668128967,0.6863853,0.07621139,0.33312026,0.9646231,0.63150287
179,overhead_press,11,instability,0.7835549116134644,0.6733793,0.11017561,0.31747797,0.89384604,0.5763681
186,overhead_press,18,instability,0.8124698996543884,0.5660685,0.24640143,0.24317676,0.8488336,0.60565686
189,overhead_press,21,clean,1.0,0.78050876,0.21949124,0.3923523,1.0360298,0.6436775
194,throw,2,clean,1.0,0.67715126,0.32284874,0.32832366,0.99646777,0.6681441
196,gait,4,instability+jerk,0.6014768481254578,0.5997461,0.0017307401,0.24429159,0.83848196,0.59419036
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.8324146,0.21769017,0.46749577,1.0451468,0.577651
203,overhead_press,11,compensation+instability,0.5034309029579163,0.72772,0.22428912,0.362374,0.96833116,0.60595715
210,lunge,18,clean,1.0,0.72449034,0.27550966,0.32554582,1.0022573,0.67671156
213,gait,21,asymmetry+rom,0.49997907876968384,0.7395256,0.23954654,0.36721626,1.0044019,0.6371857
218,lunge,2,clean,1.0,0.7732523,0.22674769,0.3904887,1.0319262,0.6414374
220,squat,4,compensation+jerk,0.47195813059806824,0.83764815,0.36569002,0.49618834,1.0949972,0.5988088
226,gait,10,jerk,0.9328513145446777,0.89342594,0.039425373,0.5642863,1.1285772,0.56429094
227,overhead_press,11,tempo,0.8584722280502319,0.80882126,0.049650967,0.44675282,1.0426129,0.5958601
234,lunge,18,asymmetry,0.6582695245742798,0.6713834,0.013113856,0.26284656,0.9623709,0.6995243
237,throw,21,clean,1.0,0.7035945,0.2964055,0.33905777,0.9998963,0.6608385
242,gait,2,clean,1.0,0.797289,0.20271099,0.4327865,1.0727298,0.63994336
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.5754483,0.035731018,0.2597645,0.78031045,0.52054596
250,throw,10,clean,1.0,0.77974707,0.22025293,0.42204726,1.0344934,0.6124462
251,throw,11,asymmetry+instability,0.6759362816810608,0.688832,0.012895703,0.34549788,0.9849802,0.6394824
258,gait,18,instability,0.8515012860298157,0.6859402,0.16556108,0.31996542,0.95761317,0.63764775
261,gait,21,jerk,0.847970187664032,0.8241728,0.023797393,0.47848114,1.0959728,0.6174916
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.68572354,0.010171771,0.33840558,1.0226569,0.6842513
268,lunge,4,asymmetry+rom,0.599364697933197,0.76587504,0.16651034,0.38430884,1.0067142,0.6224054
274,squat,10,asymmetry,0.9371042251586914,0.92401326,0.013090968,0.68111527,1.224339,0.54322374
275,squat,11,asymmetry,0.7198100090026855,0.8077202,0.087910175,0.43016124,1.0675385,0.63737726
282,gait,18,jerk+rom,0.5802179574966431,0.63190746,0.051689506,0.24748611,0.88886166,0.64137554
285,overhead_press,21,tempo,0.7571746706962585,0.73757696,0.01959771,0.35806346,1.0218122,0.66374874
290,squat,2,clean,1.0,0.8632538,0.13674623,0.5194037,1.1268284,0.60742474
292,gait,4,compensation,0.6597895622253418,0.69616497,0.036375403,0.32609138,0.95310783,0.6270164
298,lunge,10,rom,0.8551280498504639,0.8547877,0.00034034252,0.50343215,1.0665473,0.5631151
299,overhead_press,11,clean,1.0,0.78152776,0.21847224,0.41069847,1.0291046,0.6184061
306,squat,18,asymmetry+instability,0.6159713268280029,0.6545294,0.038558066,0.2941549,0.9199724,0.62581754
309,lunge,21,clean,1.0,0.7591881,0.24081188,0.37419578,1.0086082,0.6344124
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.71722734,0.31271055,0.3262815,0.9863985,0.66011703
316,gait,4,instability,0.8673028349876404,0.66205204,0.2052508,0.31233323,0.93221235,0.6198791
322,overhead_press,10,jerk+rom,0.533585250377655,0.8193886,0.28580338,0.4393562,1.0471005,0.60774434
323,lunge,11,instability,0.7158548831939697,0.65905404,0.056800842,0.32982308,0.9271913,0.59736824
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.6027154,0.13974047,0.20886594,0.88511616,0.6762502
333,gait,21,jerk+tempo,0.7612156867980957,0.6727315,0.08848417,0.32234964,0.96207726,0.6397276
338,overhead_press,2,compensation+tempo,0.7860798239707947,0.72254103,0.06353879,0.35426772,0.9976022,0.6433345
340,squat,4,instability+rom,0.4305742383003235,0.55944574,0.1288715,0.21601577,0.911206,0.69519025
346,gait,10,rom+tempo,0.6254249215126038,0.6242101,0.0012148023,0.31345218,0.9213803,0.6079281
347,lunge,11,asymmetry+compensation+rom,0.3447287976741791,0.86174786,0.51701903,0.52896726,1.1115278,0.58256054
354,throw,18,asymmetry+jerk+tempo,0.503637969493866,0.6469383,0.14330035,0.25688457,0.97655195,0.7196674
357,gait,21,instability+rom,0.7043828964233398,0.7989504,0.09456748,0.44898197,1.0822741,0.6332921
362,squat,2,asymmetry,0.7497348785400391,0.7606626,0.010927737,0.38229364,1.0358171,0.6535235
364,squat,4,asymmetry+instability,0.6251307129859924,0.65283704,0.027706325,0.36084622,0.94198424,0.581138
370,throw,10,compensation+instability+jerk,0.49103835225105286,0.7660569,0.27501854,0.40918788,1.0177681,0.60858023
371,squat,11,compensation+tempo,0.4497998356819153,0.6652851,0.21548527,0.29800275,0.921064,0.6230613
378,lunge,18,instability+rom,0.8393522500991821,0.65984523,0.17950702,0.2512895,0.9341143,0.6828248
381,squat,21,compensation,0.8087571859359741,0.83894366,0.030186474,0.47081265,1.065844,0.5950314
386,overhead_press,2,jerk,0.8793323636054993,0.72270626,0.1566261,0.3269954,0.9925208,0.66552544
388,gait,4,jerk,0.9255744218826294,0.8194604,0.10611403,0.48428044,1.0673261,0.5830456
394,squat,10,rom,0.6863469481468201,0.93861485,0.2522679,0.69786775,1.2408918,0.54302406
395,squat,11,asymmetry+compensation+instability,0.31405672430992126,0.8353024,0.5212457,0.48630416,1.1017843,0.6154802
402,squat,18,clean,1.0,0.77302635,0.22697365,0.37805733,1.0210016,0.6429442
405,throw,21,asymmetry+instability+tempo,0.44181421399116516,0.6830378,0.2412236,0.32654384,1.0307956,0.70425177
410,gait,2,compensation+jerk+rom,0.1791902333498001,0.7332668,0.55407655,0.3383022,0.9805561,0.6422539
412,lunge,4,rom,0.7134480476379395,0.7725133,0.059065223,0.42029008,1.0562131,0.635923
418,lunge,10,compensation+instability,0.3183088004589081,0.5865206,0.2682118,0.25709522,0.8304599,0.5733647
419,overhead_press,11,instability+tempo,0.6920161247253418,0.6085671,0.083449006,0.24677333,0.8401028,0.5933294
426,overhead_press,18,tempo,0.9457070827484131,0.65692675,0.28878033,0.2616408,0.9281162,0.6664754
429,lunge,21,asymmetry+compensation+tempo,0.5825364589691162,0.70576394,0.12322748,0.327948,0.97766864,0.64972067
434,squat,2,instability+tempo,0.6004575490951538,0.67913544,0.07867789,0.28395984,0.909227,0.62526715
436,overhead_press,4,instability+jerk+tempo,0.6543729901313782,0.71954674,0.065173745,0.35043713,0.9368156,0.58637846
442,throw,10,rom,0.6347213387489319,0.7917197,0.15699834,0.423934,1.0266641,0.60273015
443,gait,11,jerk,0.8464126586914062,0.8779965,0.031583846,0.53822577,1.11371,0.5754843
450,gait,18,clean,1.0,0.7579579,0.24204212,0.37634182,0.99121195,0.61487013
453,squat,21,compensation,0.6738412976264954,0.7401626,0.06632131,0.35711852,0.9882064,0.6310879
458,overhead_press,2,asymmetry+instability+tempo,0.30455252528190613,0.7039917,0.3994392,0.31533694,0.97703785,0.6617009
460,throw,4,jerk,0.9017106294631958,0.7391841,0.16252655,0.39680585,1.0510405,0.65423465
466,overhead_press,10,compensation+instability,0.3867131769657135,0.4121948,0.025481611,0.19937447,0.5196742,0.3202997
467,throw,11,asymmetry+compensation,0.6922076344490051,0.7570817,0.06487405,0.40183404,1.0424961,0.6406621
474,squat,18,compensation+rom,0.537596583366394,0.7135308,0.1759342,0.3184607,0.97068477,0.65222406
477,squat,21,jerk+rom+tempo,0.6283333897590637,0.66574043,0.03740704,0.27981737,0.9190018,0.6391845
482,squat,2,instability+tempo,0.6757096648216248,0.59454376,0.08116591,0.21435852,0.8673126,0.6529541
484,overhead_press,4,compensation+rom,0.6211854815483093,0.50660515,0.11458033,0.22361907,0.6466714,0.42305234
490,throw,10,tempo,0.8841723799705505,0.77578646,0.10838592,0.40250066,1.0128117,0.61031103
491,squat,11,compensation+instability,0.4419461190700531,0.884518,0.4425719,0.5930393,1.1548796,0.5618403
498,gait,18,clean,1.0,0.78235984,0.21764016,0.4320534,1.0501323,0.6180789
501,lunge,21,jerk+tempo,0.6392510533332825,0.7346281,0.09537703,0.35714006,1.0121944,0.65505433
506,throw,2,instability+rom,0.5616858005523682,0.5700221,0.008336306,0.20771722,0.8870558,0.6793386
508,overhead_press,4,jerk,0.8333931565284729,0.7727986,0.06059456,0.38783273,1.0233951,0.6355623
514,gait,10,instability+tempo,0.6768627762794495,0.5452318,0.13163096,0.23859596,0.8674654,0.6288694
515,throw,11,asymmetry,0.8665193915367126,0.76454425,0.10197514,0.41593114,1.0242966,0.60836554
522,gait,18,jerk+rom,0.6952667236328125,0.74926275,0.053996027,0.37443885,0.9955349,0.621096
525,lunge,21,compensation+rom,0.7570940256118774,0.7102209,0.046873152,0.32399893,0.98574877,0.66174984
530,lunge,2,jerk+tempo,0.8231753706932068,0.7325985,0.09057689,0.3580945,1.0120478,0.65395325
532,overhead_press,4,jerk,0.8263574838638306,0.76213795,0.064219534,0.37255242,1.0220989,0.6495465
538,throw,10,rom,0.6461511850357056,0.77470034,0.12854916,0.4261345,1.0386602,0.6125257
539,squat,11,clean,1.0,0.9006706,0.09932941,0.6043004,1.1677027,0.5634023
546,lunge,18,asymmetry+tempo,0.5761939287185669,0.6736393,0.09744537,0.26128072,0.9527891,0.6915084
549,throw,21,compensation+rom,0.39474111795425415,0.7098214,0.31508029,0.34406456,1.0113018,0.66723716
554,gait,2,compensation+tempo,0.7266247868537903,0.60964274,0.11698204,0.24379757,0.8838937,0.6400962
556,throw,4,asymmetry,0.8976228833198547,0.70564634,0.19197655,0.34678385,1.0324526,0.6856687
562,overhead_press,10,tempo,0.8458737730979919,0.8290811,0.016792655,0.46323043,1.0643759,0.60114545
563,overhead_press,11,jerk,0.8991842269897461,0.81798923,0.081195,0.4645477,1.0599527,0.59540504
570,squat,18,instability+jerk,0.63695228099823,0.7474441,0.11049181,0.3411323,1.0084822,0.66734993
573,lunge,21,asymmetry,0.7164809703826904,0.7508444,0.03436345,0.37888134,1.0202396,0.64135826
578,gait,2,compensation,0.7401727437973022,0.7756454,0.03547263,0.39026248,1.0380516,0.6477891
580,throw,4,instability,0.8659115433692932,0.65812945,0.20778209,0.29073405,0.9721491,0.681415
586,gait,10,jerk+rom,0.7430433630943298,0.90696865,0.16392529,0.6318505,1.1807973,0.54894686
587,throw,11,compensation+instability+tempo,0.48294201493263245,0.63718307,0.15424106,0.27588296,0.934771,0.65888804
594,gait,18,tempo,0.7689104080200195,0.55723023,0.21168017,0.19952908,0.81298566,0.6134566
597,lunge,21,jerk,0.8404654860496521,0.7855906,0.054874897,0.40521762,1.0433071,0.6380894
602,lunge,2,instability,0.9544654488563538,0.7526573,0.20180815,0.35193613,1.0086226,0.65668654
604,gait,4,asymmetry+instability,0.692274808883667,0.82851845,0.13624364,0.5114386,1.0978159,0.58637726
610,gait,10,compensation,0.8720332980155945,0.88262737,0.01059407,0.56581306,1.1343894,0.56857634
611,squat,11,asymmetry,0.7046337723731995,0.8872739,0.18264014,0.5613971,1.1491241,0.58772707
618,squat,18,compensation,0.7018070816993713,0.41781318,0.2839939,0.16205463,0.5554985,0.39344385
621,throw,21,rom,0.8544015288352966,0.69993025,0.15447128,0.33174774,1.0204327,0.68868494
