index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.5127982,0.36598104,0.30116898,0.8474139,0.5462449
4,throw,4,clean,1.0,0.7133235,0.28667653,0.39851952,1.0242958,0.6257763
10,gait,10,asymmetry,0.7657848000526428,0.9156192,0.1498344,0.59977055,1.0941328,0.49436224
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.6880551,0.22204828,0.42334843,0.94852185,0.5251734
18,lunge,18,jerk+rom,0.6231351494789124,0.800762,0.17762685,0.50137794,1.101349,0.59997106
21,squat,21,asymmetry,0.7286849617958069,0.81376475,0.08507979,0.47949445,1.0739385,0.59444404
26,gait,2,instability+rom,0.6223016381263733,0.5603589,0.061942756,0.33175927,0.8629777,0.5312184
28,overhead_press,4,compensation,0.6191835999488831,0.7188536,0.09966999,0.44341487,0.9876004,0.5441855
34,squat,10,compensation,0.796288013458252,0.9534576,0.15716958,0.6911205,1.1618572,0.47073674
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.8521787,0.058928013,0.5303276,1.0728383,0.5425107
42,lunge,18,clean,1.0,0.78606194,0.21393806,0.46941185,1.087874,0.6184622
45,gait,21,rom+tempo,0.6019501090049744,0.65941304,0.05746293,0.3365801,0.91311496,0.57653487
50,lunge,2,asymmetry,0.6527721881866455,0.7956426,0.14287043,0.5040452,1.1057751,0.6017299
52,throw,4,clean,1.0,0.7513453,0.24865472,0.39881068,1.0530984,0.65428776
58,throw,10,jerk,0.9456272125244141,0.8418803,0.10374689,0.4594214,1.0876738,0.6282524
59,throw,11,rom,0.9367360472679138,0.8459721,0.09076393,0.43020386,1.0822842,0.65208036
66,lunge,18,tempo,0.8553433418273926,0.7651785,0.09016484,0.4273432,1.033694,0.60635084
69,gait,21,instability+rom,0.4477442800998688,0.5234463,0.07570204,0.26109162,0.8235289,0.5624373
74,lunge,2,instability+jerk,0.6647371053695679,0.8034616,0.1387245,0.49385518,1.0941548,0.60029966
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.8188853,0.1556719,0.4152403,1.0879495,0.6727092
82,gait,10,tempo,0.8107673525810242,0.6077252,0.20304215,0.31723395,0.8923006,0.5750667
83,gait,11,instability+jerk+rom,0.4363165497779846,0.88578224,0.4494657,0.5364835,1.057245,0.5207615
90,lunge,18,clean,1.0,0.7842027,0.2157973,0.5123371,1.0803876,0.5680505
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.7671726,0.19133139,0.40993845,1.0489857,0.63904727
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.689193,0.23001522,0.37280893,1.0147085,0.6418996
100,throw,4,instability,0.7168699502944946,0.66056806,0.05630189,0.36808777,0.9230487,0.5549609
106,gait,10,rom+tempo,0.5957818627357483,0.76733255,0.17155069,0.47268766,1.0047975,0.5321098
