index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.6295198,0.48270267,0.2534515,0.9274541,0.67400265
4,throw,4,clean,1.0,0.68908876,0.31091124,0.33176416,1.0142572,0.68249303
10,gait,10,asymmetry,0.7657848000526428,0.872001,0.10621619,0.52582145,1.1181943,0.5923729
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.69060713,0.22460032,0.3384281,0.95896554,0.6205374
18,lunge,18,jerk+rom,0.6231351494789124,0.713755,0.09061986,0.31242624,1.0035547,0.6911285
21,squat,21,asymmetry,0.7286849617958069,0.78785497,0.059170008,0.4237712,1.0815294,0.6577582
26,gait,2,instability+rom,0.6223016381263733,0.620356,0.0019456148,0.23701271,0.90883255,0.6718198
28,overhead_press,4,compensation,0.6191835999488831,0.69038147,0.07119787,0.31776989,0.9412055,0.6234356
34,squat,10,compensation,0.796288013458252,0.9318928,0.1356048,0.72678864,1.2261482,0.4993596
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7432216,0.0500291,0.3912234,1.0241921,0.63296866
42,lunge,18,clean,1.0,0.68951344,0.31048656,0.29287773,0.98857135,0.6956936
45,gait,21,rom+tempo,0.6019501090049744,0.6570751,0.055124998,0.29320148,0.9421438,0.64894235
50,lunge,2,asymmetry,0.6527721881866455,0.75124294,0.09847075,0.39739436,1.0296774,0.63228303
52,throw,4,clean,1.0,0.71831244,0.28168756,0.32775283,1.0034754,0.6757226
58,throw,10,jerk,0.9456272125244141,0.7965401,0.14908713,0.4445055,1.0368972,0.59239167
59,throw,11,rom,0.9367360472679138,0.7727597,0.16397637,0.4086773,1.0586119,0.64993453
66,lunge,18,tempo,0.8553433418273926,0.6812513,0.17409205,0.25598,0.9569549,0.7009749
69,gait,21,instability+rom,0.4477442800998688,0.54743767,0.09969339,0.18952143,0.789325,0.59980357
74,lunge,2,instability+jerk,0.6647371053695679,0.72702765,0.06229055,0.3577997,1.0222203,0.66442055
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7504673,0.08725387,0.37809247,1.0501128,0.6720204
82,gait,10,tempo,0.8107673525810242,0.64708364,0.16368371,0.29775733,0.9155261,0.61776876
83,gait,11,instability+jerk+rom,0.4363165497779846,0.8362618,0.39994526,0.4689275,1.0708342,0.60190666
90,lunge,18,clean,1.0,0.7187594,0.28124058,0.3194867,1.0056999,0.68621314
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.69431436,0.11847317,0.33776808,1.0422099,0.7044418
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.6466349,0.18745708,0.28244472,0.9942492,0.7118045
100,throw,4,instability,0.7168699502944946,0.53560245,0.1812675,0.28145573,0.82684445,0.5453887
106,gait,10,rom+tempo,0.5957818627357483,0.80465144,0.20886958,0.4319842,1.0497735,0.61778927
107,overhead_press,11,jerk,0.9368828535079956,0.7886795,0.14820337,0.41484952,1.0413859,0.62653637
114,overhead_press,18,jerk,0.8139992356300354,0.67993206,0.13406718,0.28957933,0.95818627,0.66860694
117,throw,21,clean,1.0,0.71240526,0.28759474,0.33677188,1.0207666,0.68399477
122,squat,2,clean,1.0,0.8554313,0.14456868,0.5321008,1.1362208,0.60412
124,overhead_press,4,asymmetry,0.7296754121780396,0.72640574,0.0032696724,0.354767,1.018024,0.663257
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.6680132,0.23862746,0.2751507,0.88935196,0.6142013
131,lunge,11,tempo,0.8352254033088684,0.741401,0.09382439,0.38420764,0.99497163,0.610764
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.5477619,0.06096825,0.2409035,0.83805066,0.59714717
141,lunge,21,rom,0.8736799359321594,0.7994607,0.07421923,0.44459355,1.0652605,0.620667
146,overhead_press,2,instability,0.8017282485961914,0.64994586,0.1517824,0.27490005,0.9296694,0.6547693
148,overhead_press,4,clean,1.0,0.76166964,0.23833036,0.38925162,1.0218711,0.6326195
154,throw,10,compensation,0.6015304923057556,0.7970436,0.19551313,0.4473797,1.0361335,0.5887538
155,throw,11,instability+jerk,0.8403570055961609,0.7086656,0.1316914,0.35188586,1.0228164,0.67093056
162,throw,18,instability+tempo,0.6316795945167542,0.6258376,0.0058419704,0.24755031,0.9814327,0.73388237
165,gait,21,asymmetry,0.9303615689277649,0.8115148,0.118846774,0.43502456,1.0763397,0.64131516
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.71578157,0.018982828,0.34920833,1.0104365,0.6612282
172,throw,4,compensation+instability,0.658443808555603,0.612797,0.045646787,0.27146876,0.9772637,0.70579493
178,throw,10,instability,0.7625966668128967,0.69284844,0.06974822,0.34417024,0.9991926,0.6550224
179,overhead_press,11,instability,0.7835549116134644,0.6709906,0.112564325,0.33043382,0.91768503,0.5872512
186,overhead_press,18,instability,0.8124698996543884,0.5603991,0.25207078,0.2596475,0.87846565,0.61881816
189,overhead_press,21,clean,1.0,0.7757449,0.22425508,0.37665963,1.0240061,0.6473465
194,throw,2,clean,1.0,0.68679947,0.31320053,0.32773447,1.0208312,0.69309676
196,gait,4,instability+jerk,0.6014768481254578,0.58574754,0.015729308,0.24873388,0.85829353,0.60955966
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.83372194,0.21899748,0.49871838,1.068466,0.56974757
203,overhead_press,11,compensation+instability,0.5034309029579163,0.72596323,0.22253233,0.37057912,0.9899306,0.6193515
210,lunge,18,clean,1.0,0.72209847,0.27790153,0.3193985,1.0011499,0.6817514
213,gait,21,asymmetry+rom,0.49997907876968384,0.73149544,0.23151636,0.35541582,1.0184538,0.663038
218,lunge,2,clean,1.0,0.7776241,0.22237593,0.40669858,1.0509963,0.6442977
220,squat,4,compensation+jerk,0.47195813059806824,0.8436841,0.37172595,0.52728105,1.1113893,0.58410823
226,gait,10,jerk,0.9328513145446777,0.8905555,0.042295814,0.52394056,1.1015518,0.5776112
227,overhead_press,11,tempo,0.8584722280502319,0.8063733,0.05209893,0.44829568,1.0512968,0.6030011
234,lunge,18,asymmetry,0.6582695245742798,0.6766529,0.018383384,0.2686682,0.9759482,0.70728004
237,throw,21,clean,1.0,0.70712095,0.29287905,0.32785803,1.012805,0.68494695
242,gait,2,clean,1.0,0.7895676,0.21043241,0.4148231,1.0790505,0.6642274
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.57060546,0.0308882,0.2770155,0.8020242,0.5250087
250,throw,10,clean,1.0,0.78269297,0.21730703,0.42273307,1.0500852,0.6273521
251,throw,11,asymmetry+instability,0.6759362816810608,0.6975328,0.021596491,0.3524576,1.0099403,0.6574826
258,gait,18,instability,0.8515012860298157,0.6733598,0.17814147,0.2912079,0.95439935,0.66319144
261,gait,21,jerk,0.847970187664032,0.812519,0.035451174,0.45800763,1.0898187,0.6318111
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.6880006,0.012448847,0.32518283,1.0350512,0.70986843
268,lunge,4,asymmetry+rom,0.599364697933197,0.7662021,0.1668374,0.4008727,1.0282996,0.62742686
274,squat,10,asymmetry,0.9371042251586914,0.92448175,0.012622476,0.71572447,1.2278056,0.51208115
275,squat,11,asymmetry,0.7198100090026855,0.81321865,0.093408644,0.46680298,1.0964799,0.62967694
282,gait,18,jerk+rom,0.5802179574966431,0.6189924,0.03877443,0.22097912,0.88337195,0.66239285
285,overhead_press,21,tempo,0.7571746706962585,0.72994494,0.027229726,0.34397048,1.0203879,0.6764174
290,squat,2,clean,1.0,0.8630069,0.13699311,0.5464957,1.1448624,0.59836674
292,gait,4,compensation,0.6597895622253418,0.6919719,0.032182336,0.30818698,0.9553684,0.6471814
298,lunge,10,rom,0.8551280498504639,0.8556974,0.00056934357,0.536551,1.0924946,0.5559436
299,overhead_press,11,clean,1.0,0.777615,0.22238499,0.40751332,1.0322182,0.6247049
306,squat,18,asymmetry+instability,0.6159713268280029,0.6561348,0.040163457,0.30593657,0.9527427,0.6468061
309,lunge,21,clean,1.0,0.7603279,0.23967212,0.39014566,1.0292813,0.6391356
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.7143005,0.30978373,0.32729393,0.9985823,0.6712884
316,gait,4,instability,0.8673028349876404,0.6538659,0.21343696,0.30464214,0.93512875,0.6304866
322,overhead_press,10,jerk+rom,0.533585250377655,0.8204015,0.28681624,0.45002484,1.0586517,0.60862684
323,lunge,11,instability,0.7158548831939697,0.66155523,0.054299653,0.35875154,0.9604355,0.601684
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.60203964,0.1404162,0.22215705,0.91292423,0.69076717
333,gait,21,jerk+tempo,0.7612156867980957,0.66380554,0.09741014,0.31161982,0.9749786,0.6633588
338,overhead_press,2,compensation+tempo,0.7860798239707947,0.7244694,0.0616104,0.35076723,1.0040368,0.6532695
340,squat,4,instability+rom,0.4305742383003235,0.5618277,0.13125348,0.20997867,0.9284905,0.7185118
346,gait,10,rom+tempo,0.6254249215126038,0.62269276,0.0027321577,0.32031673,0.94363743,0.6233207
347,lunge,11,asymmetry+compensation+rom,0.3447287976741791,0.86295444,0.51822567,0.5574979,1.1268915,0.5693936
354,throw,18,asymmetry+jerk+tempo,0.503637969493866,0.64998597,0.146348,0.24509034,0.9875854,0.74249506
357,gait,21,instability+rom,0.7043828964233398,0.794224,0.08984113,0.41963947,1.0732117,0.6535722
362,squat,2,asymmetry,0.7497348785400391,0.7665591,0.016824245,0.40046418,1.0501539,0.6496897
364,squat,4,asymmetry+instability,0.6251307129859924,0.65143895,0.026308239,0.36527812,0.96284765,0.5975695
370,throw,10,compensation+instability+jerk,0.49103835225105286,0.7698217,0.27878335,0.4155053,1.0364151,0.6209098
371,squat,11,compensation+tempo,0.4497998356819153,0.6626508,0.21285099,0.32935882,0.9402957,0.6109369
378,lunge,18,instability+rom,0.8393522500991821,0.6612448,0.17810744,0.2507427,0.94496214,0.69421947
381,squat,21,compensation,0.8087571859359741,0.84413725,0.035380065,0.49830264,1.0772417,0.578939
386,overhead_press,2,jerk,0.8793323636054993,0.7236496,0.15568274,0.32654995,1.000134,0.67358404
388,gait,4,jerk,0.9255744218826294,0.8110828,0.11449164,0.45307025,1.0562565,0.60318625
394,squat,10,rom,0.6863469481468201,0.93604857,0.24970162,0.73004735,1.2474818,0.5174345
395,squat,11,asymmetry+compensation+instability,0.31405672430992126,0.8344037,0.520347,0.5106754,1.1184697,0.60779434
402,squat,18,clean,1.0,0.774388,0.22561198,0.39169326,1.0302422,0.638549
405,throw,21,asymmetry+instability+tempo,0.44181421399116516,0.68924,0.24742576,0.31747133,1.0400081,0.72253674
410,gait,2,compensation+jerk+rom,0.1791902333498001,0.7253545,0.5461643,0.32006943,0.9866202,0.66655076
412,lunge,4,rom,0.7134480476379395,0.774452,0.061003923,0.44436884,1.077972,0.6336032
418,lunge,10,compensation+instability,0.3183088004589081,0.59160453,0.27329573,0.2998774,0.86895984,0.56908244
419,overhead_press,11,instability+tempo,0.6920161247253418,0.6165809,0.07543522,0.27143073,0.884935,0.6135043
426,overhead_press,18,tempo,0.9457070827484131,0.6528043,0.29290277,0.26000577,0.93444854,0.67444277
429,lunge,21,asymmetry+compensation+tempo,0.5825364589691162,0.70554113,0.123004675,0.3266106,0.9872118,0.66060126
434,squat,2,instability+tempo,0.6004575490951538,0.6741902,0.073732674,0.3056127,0.9305209,0.6249082
436,overhead_press,4,instability+jerk+tempo,0.6543729901313782,0.7100735,0.05570048,0.33907276,0.93798834,0.5989156
442,throw,10,rom,0.6347213387489319,0.79470825,0.15998691,0.42297912,1.0367675,0.61378837
443,gait,11,jerk,0.8464126586914062,0.8678345,0.02142185,0.49011773,1.0860962,0.59597844
450,gait,18,clean,1.0,0.7451566,0.2548434,0.35412145,0.9930633,0.6389418
