index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.7369827,0.59016556,0.4009242,1.0363784,0.6354542
4,throw,4,clean,1.0,0.7361441,0.26385587,0.3858434,1.0303621,0.64451873
10,gait,10,asymmetry,0.7657848000526428,0.7369042,0.028880596,0.40150893,1.0366951,0.6351862
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.73569846,0.26969165,0.38418722,1.0286978,0.6445106
18,lunge,18,jerk+rom,0.6231351494789124,0.7378207,0.114685535,0.38714394,1.0286897,0.6415458
21,squat,21,asymmetry,0.7286849617958069,0.7346303,0.005945325,0.37443167,1.023257,0.64882535
26,gait,2,instability+rom,0.6223016381263733,0.7370043,0.11470264,0.4008862,1.0361729,0.6352867
28,overhead_press,4,compensation,0.6191835999488831,0.73862845,0.11944485,0.39146638,1.0321507,0.64068437
34,squat,10,compensation,0.796288013458252,0.7346994,0.061588585,0.37362528,1.0217942,0.6481689
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.73834246,0.054908216,0.39147758,1.0328732,0.64139557
42,lunge,18,clean,1.0,0.7377216,0.26227838,0.3872151,1.0287849,0.64156973
45,gait,21,rom+tempo,0.6019501090049744,0.7369538,0.13500369,0.40097424,1.0360303,0.635056
50,lunge,2,asymmetry,0.6527721881866455,0.73632836,0.083556175,0.3860192,1.0294278,0.64340854
52,throw,4,clean,1.0,0.73628527,0.26371473,0.38618112,1.030526,0.6443449
58,throw,10,jerk,0.9456272125244141,0.7354681,0.21015912,0.38430083,1.0299834,0.6456826
59,throw,11,rom,0.9367360472679138,0.73569036,0.20104569,0.38467804,1.0300041,0.64532614
66,lunge,18,tempo,0.8553433418273926,0.7376115,0.11773187,0.38762453,1.0291756,0.64155114
69,gait,21,instability+rom,0.4477442800998688,0.7368598,0.28911552,0.40023315,1.0355572,0.635324
74,lunge,2,instability+jerk,0.6647371053695679,0.7364741,0.07173699,0.38572443,1.028958,0.64323354
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7362855,0.073072076,0.38536936,1.029752,0.64438266
82,gait,10,tempo,0.8107673525810242,0.73683524,0.07393211,0.40095818,1.0364013,0.6354431
83,gait,11,instability+jerk+rom,0.4363165497779846,0.73692685,0.3006103,0.40161547,1.036681,0.63506556
90,lunge,18,clean,1.0,0.7378117,0.26218832,0.38776222,1.0291812,0.64141905
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.73659587,0.16075468,0.38521978,1.0290645,0.6438447
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.73591495,0.27673715,0.38649544,1.0312744,0.64477897
100,throw,4,instability,0.7168699502944946,0.7363943,0.019524336,0.38703755,1.0312793,0.6442418
106,gait,10,rom+tempo,0.5957818627357483,0.7368241,0.14104223,0.40104762,1.0364523,0.6354047
107,overhead_press,11,jerk,0.9368828535079956,0.738566,0.19831687,0.39145815,1.0325444,0.6410862
114,overhead_press,18,jerk,0.8139992356300354,0.7390057,0.07499355,0.39296106,1.0327852,0.63982415
117,throw,21,clean,1.0,0.737065,0.26293498,0.386458,1.029649,0.643191
122,squat,2,clean,1.0,0.73366255,0.26633745,0.3753882,1.0252894,0.6499012
124,overhead_press,4,asymmetry,0.7296754121780396,0.737993,0.00831759,0.38940853,1.0312102,0.64180166
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.7368873,0.30750152,0.40119296,1.0364563,0.6352634
131,lunge,11,tempo,0.8352254033088684,0.73667383,0.09855157,0.3840089,1.0271877,0.6431788
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.7382611,0.25146744,0.39149952,1.0325379,0.6410384
141,lunge,21,rom,0.8736799359321594,0.7376367,0.13604325,0.38632533,1.0280151,0.6416898
146,overhead_press,2,instability,0.8017282485961914,0.7379678,0.06376046,0.390915,1.0324085,0.64149344
148,overhead_press,4,clean,1.0,0.73848957,0.26151043,0.39150634,1.0325437,0.64103734
154,throw,10,compensation,0.6015304923057556,0.7353268,0.13379633,0.38427296,1.0302377,0.64596474
155,throw,11,instability+jerk,0.8403570055961609,0.73594785,0.10440916,0.38528123,1.0301843,0.64490306
162,throw,18,instability+tempo,0.6316795945167542,0.7374021,0.10572249,0.38792565,1.030444,0.6425184
165,gait,21,asymmetry,0.9303615689277649,0.7369227,0.19343889,0.40129867,1.0363272,0.6350286
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.73624456,0.039445817,0.38524127,1.0289232,0.6436819
172,throw,4,compensation+instability,0.658443808555603,0.73636705,0.07792324,0.38400424,1.0281199,0.6441157
178,throw,10,instability,0.7625966668128967,0.7355901,0.027006567,0.38393462,1.0295599,0.64562523
179,overhead_press,11,instability,0.7835549116134644,0.7384687,0.045086205,0.39106736,1.0322913,0.6412239
186,overhead_press,18,instability,0.8124698996543884,0.7390305,0.07343942,0.39138308,1.0313027,0.63991964
189,overhead_press,21,clean,1.0,0.7390079,0.2609921,0.39203262,1.0322747,0.6402421
194,throw,2,clean,1.0,0.735879,0.264121,0.38636208,1.0312978,0.6449357
196,gait,4,instability+jerk,0.6014768481254578,0.7366846,0.13520777,0.40150574,1.0363786,0.6348729
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.73570234,0.12097788,0.38392553,1.0285414,0.6446159
203,overhead_press,11,compensation+instability,0.5034309029579163,0.7385016,0.2350707,0.39137733,1.0324464,0.64106905
210,lunge,18,clean,1.0,0.7377458,0.26225418,0.3875662,1.0289394,0.64137316
213,gait,21,asymmetry+rom,0.49997907876968384,0.7369829,0.2370038,0.40089953,1.0359323,0.6350328
218,lunge,2,clean,1.0,0.73645705,0.26354295,0.3854366,1.0287735,0.64333695
220,squat,4,compensation+jerk,0.47195813059806824,0.7340132,0.26205507,0.37564638,1.0251156,0.64946926
226,gait,10,jerk,0.9328513145446777,0.73694086,0.19591045,0.4013451,1.0365671,0.63522196
227,overhead_press,11,tempo,0.8584722280502319,0.7385529,0.1199193,0.391214,1.0322053,0.64099133
234,lunge,18,asymmetry,0.6582695245742798,0.7379223,0.079652786,0.38834274,1.0294566,0.6411139
237,throw,21,clean,1.0,0.7372075,0.26279253,0.38657263,1.0295584,0.6429858
242,gait,2,clean,1.0,0.7370052,0.26299483,0.40116367,1.0364349,0.6352712
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.7364642,0.19674695,0.38602436,1.0294974,0.643473
250,throw,10,clean,1.0,0.7355833,0.2644167,0.38424885,1.0298022,0.64555335
251,throw,11,asymmetry+instability,0.6759362816810608,0.7354016,0.05946529,0.38377824,1.0295213,0.64574313
258,gait,18,instability,0.8515012860298157,0.7367703,0.114731014,0.4012642,1.0363514,0.63508725
261,gait,21,jerk,0.847970187664032,0.73697907,0.11099112,0.40126538,1.0362465,0.63498116
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.7353855,0.059833705,0.38484415,1.0304488,0.6456046
268,lunge,4,asymmetry+rom,0.599364697933197,0.73617125,0.13680655,0.38550848,1.0294983,0.64398986
274,squat,10,asymmetry,0.9371042251586914,0.7347245,0.2023797,0.3731326,1.0212601,0.64812756
275,squat,11,asymmetry,0.7198100090026855,0.7327008,0.012890816,0.37226442,1.0236076,0.6513432
282,gait,18,jerk+rom,0.5802179574966431,0.73689526,0.1566773,0.40148893,1.0362537,0.6347648
285,overhead_press,21,tempo,0.7571746706962585,0.73859656,0.018578112,0.3917425,1.0325996,0.6408571
290,squat,2,clean,1.0,0.7335412,0.2664588,0.3746849,1.0247942,0.6501093
292,gait,4,compensation,0.6597895622253418,0.7367692,0.07697964,0.40148726,1.0363016,0.6348144
298,lunge,10,rom,0.8551280498504639,0.73631173,0.118816316,0.3834107,1.0269829,0.6435722
299,overhead_press,11,clean,1.0,0.7386023,0.26139772,0.39148164,1.0324937,0.6410121
306,squat,18,asymmetry+instability,0.6159713268280029,0.7353106,0.11933929,0.37805325,1.025662,0.6476087
309,lunge,21,clean,1.0,0.7377569,0.2622431,0.38590884,1.0275924,0.6416836
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.73607475,0.33155796,0.38488954,1.0288095,0.64392
316,gait,4,instability,0.8673028349876404,0.73675305,0.13054979,0.40126052,1.0361537,0.6348932
322,overhead_press,10,jerk+rom,0.533585250377655,0.73835343,0.20476818,0.390928,1.0324693,0.64154124
323,lunge,11,instability,0.7158548831939697,0.7368013,0.020946443,0.38525465,1.0283077,0.64305305
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.73870754,0.0037482977,0.3913217,1.03163,0.6403084
333,gait,21,jerk+tempo,0.7612156867980957,0.7369537,0.024262011,0.40106744,1.0361397,0.6350723
338,overhead_press,2,compensation+tempo,0.7860798239707947,0.7381253,0.0479545,0.39080146,1.0322993,0.64149785
340,squat,4,instability+rom,0.4305742383003235,0.7327204,0.30214614,0.37251455,1.0237696,0.6512551
346,gait,10,rom+tempo,0.6254249215126038,0.7369117,0.11148679,0.4007802,1.036166,0.63538575
347,lunge,11,asymmetry+compensation+rom,0.3447287976741791,0.73671347,0.39198467,0.3849179,1.0275862,0.6426683
354,throw,18,asymmetry+jerk+tempo,0.503637969493866,0.73747826,0.23384029,0.38900405,1.031386,0.64238197
357,gait,21,instability+rom,0.7043828964233398,0.737014,0.0326311,0.40136433,1.0362031,0.6348388
362,squat,2,asymmetry,0.7497348785400391,0.73223937,0.017495513,0.37347358,1.0256805,0.65220696
364,squat,4,asymmetry+instability,0.6251307129859924,0.7342577,0.109126985,0.375352,1.0250034,0.6496514
370,throw,10,compensation+instability+jerk,0.49103835225105286,0.73488355,0.2438452,0.38200915,1.0285103,0.6465012
371,squat,11,compensation+tempo,0.4497998356819153,0.7330994,0.28329957,0.373362,1.0238268,0.65046483
378,lunge,18,instability+rom,0.8393522500991821,0.7376804,0.101671875,0.3879785,1.0294495,0.64147097
381,squat,21,compensation,0.8087571859359741,0.7352194,0.07353777,0.37549537,1.0233114,0.647816
386,overhead_press,2,jerk,0.8793323636054993,0.7381566,0.14117575,0.39080864,1.032381,0.6415724
388,gait,4,jerk,0.9255744218826294,0.73673993,0.18883449,0.40140203,1.0362893,0.63488734
394,squat,10,rom,0.6863469481468201,0.7346539,0.048306942,0.3737658,1.0218536,0.64808774
395,squat,11,asymmetry+compensation+instability,0.31405672430992126,0.73271716,0.41866043,0.37223276,1.0236979,0.65146506
402,squat,18,clean,1.0,0.7355484,0.26445162,0.37788433,1.0250559,0.64717156
405,throw,21,asymmetry+instability+tempo,0.44181421399116516,0.73659253,0.29477832,0.38463804,1.0284818,0.64384377
410,gait,2,compensation+jerk+rom,0.1791902333498001,0.7369815,0.5577913,0.40104538,1.0364358,0.63539046
412,lunge,4,rom,0.7134480476379395,0.73696613,0.023518085,0.38577315,1.0284855,0.64271235
418,lunge,10,compensation+instability,0.3183088004589081,0.7356941,0.4173853,0.3824026,1.0267696,0.64436704
419,overhead_press,11,instability+tempo,0.6920161247253418,0.7385932,0.046577096,0.39159992,1.0326415,0.64104164
426,overhead_press,18,tempo,0.9457070827484131,0.7389377,0.2067694,0.39228335,1.0323768,0.64009345
429,lunge,21,asymmetry+compensation+tempo,0.5825364589691162,0.73797196,0.1554355,0.38628414,1.0276318,0.64134765
434,squat,2,instability+tempo,0.6004575490951538,0.7341138,0.13365626,0.37521452,1.0241673,0.6489528
