index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.62646896,0.4796518,0.28379846,0.9483124,0.66451395
4,throw,4,clean,1.0,0.70955515,0.29044485,0.33084577,1.0057659,0.67492014
10,gait,10,asymmetry,0.7657848000526428,0.89248574,0.12670094,0.66294163,1.1258018,0.46286017
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.6754829,0.20947611,0.33740976,0.9960916,0.65868187
18,lunge,18,jerk+rom,0.6231351494789124,0.71314883,0.09001368,0.38312036,1.0110981,0.6279778
21,squat,21,asymmetry,0.7286849617958069,0.7104095,0.01827544,0.36804944,0.96736825,0.5993188
26,gait,2,instability+rom,0.6223016381263733,0.6760032,0.05370158,0.3558397,0.9926002,0.6367605
28,overhead_press,4,compensation,0.6191835999488831,0.7616549,0.14247131,0.5156061,1.0163114,0.5007053
34,squat,10,compensation,0.796288013458252,0.9095873,0.11329931,0.81446624,1.1558971,0.3414309
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.80788726,0.014636576,0.5126345,1.0282307,0.51559615
42,lunge,18,clean,1.0,0.6610482,0.33895183,0.31069744,0.96102035,0.6503229
45,gait,21,rom+tempo,0.6019501090049744,0.73045623,0.12850612,0.45157397,1.0283045,0.5767305
50,lunge,2,asymmetry,0.6527721881866455,0.7602108,0.107438624,0.42619747,1.011482,0.58528453
52,throw,4,clean,1.0,0.71322656,0.28677344,0.32228833,0.9946813,0.67239296
58,throw,10,jerk,0.9456272125244141,0.73777163,0.20785558,0.3571521,1.0035763,0.6464242
59,throw,11,rom,0.9367360472679138,0.7412383,0.19549775,0.3502886,1.0044765,0.6541879
66,lunge,18,tempo,0.8553433418273926,0.6737109,0.18163246,0.32757264,0.9902081,0.66263545
69,gait,21,instability+rom,0.4477442800998688,0.5455214,0.0977771,0.26760146,0.8359537,0.5683522
74,lunge,2,instability+jerk,0.6647371053695679,0.7204935,0.05575639,0.38618973,0.9938779,0.6076882
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7515166,0.08830315,0.36806512,1.0257864,0.6577213
