index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.5330643,0.38624716,0.1589607,0.8627566,0.7037959
4,throw,4,clean,1.0,0.7382521,0.2617479,0.3475571,1.0312908,0.6837337
10,gait,10,asymmetry,0.7657848000526428,0.91512114,0.14933634,0.7352507,1.1528356,0.4175849
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.58621657,0.12020975,0.21536538,0.9200003,0.7046349
18,lunge,18,jerk+rom,0.6231351494789124,0.7037139,0.080578744,0.37164733,1.0114527,0.6398053
21,squat,21,asymmetry,0.7286849617958069,0.6728361,0.055848837,0.3385919,0.92944646,0.5908545
26,gait,2,instability+rom,0.6223016381263733,0.61663777,0.0056638718,0.29039866,0.94912493,0.6587263
28,overhead_press,4,compensation,0.6191835999488831,0.7406669,0.121483326,0.47080013,1.0222791,0.551479
34,squat,10,compensation,0.796288013458252,0.8858326,0.089544594,0.6872223,1.0905809,0.40335864
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.8196523,0.026401639,0.51954365,1.0122569,0.4927132
42,lunge,18,clean,1.0,0.7039357,0.29606432,0.37397206,0.99515486,0.6211828
45,gait,21,rom+tempo,0.6019501090049744,0.62031204,0.018361926,0.28710118,0.9376005,0.65049934
50,lunge,2,asymmetry,0.6527721881866455,0.78046143,0.12768924,0.4445927,1.0367891,0.59219635
52,throw,4,clean,1.0,0.69187164,0.30812836,0.29244307,0.99421036,0.7017673
58,throw,10,jerk,0.9456272125244141,0.739736,0.20589119,0.36607292,1.0312178,0.6651449
59,throw,11,rom,0.9367360472679138,0.7370427,0.19969332,0.33498302,1.0273669,0.6923839
66,lunge,18,tempo,0.8553433418273926,0.6810462,0.17429715,0.30027446,0.95434344,0.65406895
69,gait,21,instability+rom,0.4477442800998688,0.50451374,0.05676946,0.24525687,0.8785449,0.633288
74,lunge,2,instability+jerk,0.6647371053695679,0.74222934,0.07749224,0.42557457,1.0259198,0.60034525
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.73579526,0.07258183,0.33298552,1.0224998,0.6895143
82,gait,10,tempo,0.8107673525810242,0.6425444,0.16822296,0.3036401,0.91238916,0.60874903
83,gait,11,instability+jerk+rom,0.4363165497779846,0.8523417,0.41602516,0.5964599,1.072453,0.4759931
90,lunge,18,clean,1.0,0.67848754,0.32151246,0.3089043,0.9485547,0.6396504
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.71350974,0.13766855,0.3006493,0.9844792,0.6838299
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.6896223,0.23044449,0.31953892,0.9808465,0.6613076
100,throw,4,instability,0.7168699502944946,0.5833159,0.13355404,0.28074166,0.8366991,0.55595744
106,gait,10,rom+tempo,0.5957818627357483,0.82962155,0.23383969,0.5156839,1.0338713,0.5181874
107,overhead_press,11,jerk,0.9368828535079956,0.8499053,0.08697754,0.6002067,1.1078558,0.5076491
114,overhead_press,18,jerk,0.8139992356300354,0.7129879,0.101011336,0.39227298,0.95037913,0.5581062
117,throw,21,clean,1.0,0.7147842,0.2852158,0.32703498,1.0070109,0.679976
122,squat,2,clean,1.0,0.7991042,0.20089579,0.49232128,1.0379316,0.5456103
124,overhead_press,4,asymmetry,0.7296754121780396,0.7342046,0.004529178,0.40374497,0.99244833,0.5887034
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.7069518,0.27756605,0.38536626,0.95971555,0.5743493
131,lunge,11,tempo,0.8352254033088684,0.65715486,0.17807055,0.25139126,0.9242047,0.6728134
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.56983423,0.083040565,0.24562514,0.77456915,0.528944
141,lunge,21,rom,0.8736799359321594,0.7543112,0.11936873,0.38983715,0.9864937,0.59665656
146,overhead_press,2,instability,0.8017282485961914,0.7392765,0.06245172,0.42008254,0.92230415,0.5022216
148,overhead_press,4,clean,1.0,0.82434803,0.17565197,0.56842136,1.0723433,0.503922
154,throw,10,compensation,0.6015304923057556,0.73956037,0.13802987,0.374285,1.0273273,0.6530423
155,throw,11,instability+jerk,0.8403570055961609,0.72040653,0.11995047,0.3494505,1.0286967,0.6792462
162,throw,18,instability+tempo,0.6316795945167542,0.64715075,0.01547116,0.2712679,0.93406284,0.66279495
165,gait,21,asymmetry,0.9303615689277649,0.82937676,0.10098481,0.53039855,1.0259914,0.4955929
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.7142277,0.017428935,0.34064737,0.9847623,0.644115
172,throw,4,compensation+instability,0.658443808555603,0.6671035,0.00865972,0.29824498,0.9474566,0.64921165
178,throw,10,instability,0.7625966668128967,0.7031962,0.05940044,0.31247196,0.9423138,0.6298418
179,overhead_press,11,instability,0.7835549116134644,0.7611668,0.0223881,0.5397577,1.0179249,0.47816718
186,overhead_press,18,instability,0.8124698996543884,0.5855963,0.22687358,0.28260526,0.78825176,0.50564647
189,overhead_press,21,clean,1.0,0.82399976,0.17600024,0.57803005,1.1003485,0.5223184
194,throw,2,clean,1.0,0.7000589,0.29994112,0.32264206,1.0027798,0.68013775
196,gait,4,instability+jerk,0.6014768481254578,0.5478981,0.053578734,0.27353033,0.87097573,0.59744537
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.7551118,0.14038736,0.41188288,1.0018411,0.5899582
203,overhead_press,11,compensation+instability,0.5034309029579163,0.7359867,0.2325558,0.42058167,0.9454113,0.5248296
210,lunge,18,clean,1.0,0.66897744,0.33102256,0.29976833,0.9449438,0.64517546
213,gait,21,asymmetry+rom,0.49997907876968384,0.69010156,0.19012249,0.31005114,0.9347295,0.6246784
218,lunge,2,clean,1.0,0.73906225,0.26093775,0.385583,1.011535,0.625952
220,squat,4,compensation+jerk,0.47195813059806824,0.80972576,0.33776763,0.5546145,1.0634128,0.5087983
226,gait,10,jerk,0.9328513145446777,0.90427464,0.028576672,0.6795511,1.1136236,0.4340725
227,overhead_press,11,tempo,0.8584722280502319,0.79386395,0.064608276,0.5308161,1.0812141,0.550398
234,lunge,18,asymmetry,0.6582695245742798,0.68087476,0.02260524,0.30622044,0.94302464,0.6368042
237,throw,21,clean,1.0,0.71596855,0.28403145,0.35117993,1.0218803,0.6707003
242,gait,2,clean,1.0,0.8267688,0.17323118,0.48337033,1.0088031,0.5254328
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.53931737,0.00039988756,0.1701749,0.72472,0.5545451
250,throw,10,clean,1.0,0.7439054,0.25609457,0.36214462,1.024381,0.66223645
251,throw,11,asymmetry+instability,0.6759362816810608,0.691398,0.015461743,0.29759422,0.961704,0.6641098
258,gait,18,instability,0.8515012860298157,0.6797374,0.1717639,0.3370239,0.8875291,0.55050516
261,gait,21,jerk,0.847970187664032,0.8133245,0.034645677,0.46951,0.9995049,0.52999496
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.6938175,0.018265724,0.29752865,0.98664534,0.6891167
268,lunge,4,asymmetry+rom,0.599364697933197,0.7084137,0.10904902,0.31886894,0.96854556,0.6496766
274,squat,10,asymmetry,0.9371042251586914,0.88323295,0.053871274,0.6881126,1.0938675,0.40575492
275,squat,11,asymmetry,0.7198100090026855,0.6510492,0.06876081,0.33164263,0.92009455,0.5884519
282,gait,18,jerk+rom,0.5802179574966431,0.6408923,0.06067437,0.2693558,0.8677107,0.59835494
285,overhead_press,21,tempo,0.7571746706962585,0.6547224,0.10245228,0.3099137,0.928083,0.6181693
290,squat,2,clean,1.0,0.82772297,0.17227703,0.5286703,1.0441648,0.51549447
292,gait,4,compensation,0.6597895622253418,0.59326977,0.0665198,0.20647705,0.81137156,0.6048945
298,lunge,10,rom,0.8551280498504639,0.78430015,0.0708279,0.43690398,1.017513,0.5806091
299,overhead_press,11,clean,1.0,0.84228796,0.15771204,0.5787568,1.0801628,0.50140595
306,squat,18,asymmetry+instability,0.6159713268280029,0.6875024,0.07153106,0.40514064,0.9493052,0.54416454
309,lunge,21,clean,1.0,0.7468799,0.25312012,0.43350005,1.0427768,0.6092768
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.71829337,0.31377658,0.34728587,1.0075212,0.6602353
316,gait,4,instability,0.8673028349876404,0.731364,0.13593882,0.42030907,0.9522031,0.531894
322,overhead_press,10,jerk+rom,0.533585250377655,0.8293102,0.29572493,0.54863554,1.0820303,0.53339475
323,lunge,11,instability,0.7158548831939697,0.5134565,0.20239836,0.1785717,0.7810136,0.6024419
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.6372091,0.10524672,0.30504552,0.85593545,0.55088997
