index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.60194474,0.4551276,0.27375865,0.9822167,0.70845807
4,throw,4,clean,1.0,0.67529726,0.32470274,0.31384853,1.0382099,0.7243614
10,gait,10,asymmetry,0.7657848000526428,0.8555959,0.08981109,0.6232691,1.1695573,0.54628825
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.6749877,0.20898086,0.34277973,1.0544546,0.7116748
18,lunge,18,jerk+rom,0.6231351494789124,0.67422456,0.051089406,0.31138396,1.0303183,0.7189343
21,squat,21,asymmetry,0.7286849617958069,0.74993366,0.021248698,0.4500114,1.1042782,0.65426683
26,gait,2,instability+rom,0.6223016381263733,0.5384095,0.08389217,0.23176584,0.9491856,0.71741974
28,overhead_press,4,compensation,0.6191835999488831,0.6406418,0.021458209,0.3160417,0.98553294,0.66949123
34,squat,10,compensation,0.796288013458252,0.90108436,0.10479635,0.80369025,1.2155746,0.41188437
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7418787,0.05137199,0.429086,1.0419419,0.6128559
42,lunge,18,clean,1.0,0.6823683,0.31763172,0.31706628,1.0429639,0.72589755
45,gait,21,rom+tempo,0.6019501090049744,0.6133377,0.011387587,0.31404874,0.9813864,0.66733766
50,lunge,2,asymmetry,0.6527721881866455,0.7403592,0.087587,0.41805828,1.0767305,0.6586722
52,throw,4,clean,1.0,0.67674416,0.32325584,0.30350703,1.032007,0.72849995
58,throw,10,jerk,0.9456272125244141,0.7593109,0.18631631,0.41800007,1.0888222,0.67082214
59,throw,11,rom,0.9367360472679138,0.7651056,0.17163044,0.4291762,1.0957861,0.6666099
66,lunge,18,tempo,0.8553433418273926,0.64714164,0.2082017,0.2861349,1.0271944,0.7410595
69,gait,21,instability+rom,0.4477442800998688,0.5346027,0.08685842,0.2679378,0.9331784,0.66524065
74,lunge,2,instability+jerk,0.6647371053695679,0.7102189,0.0454818,0.3638698,1.0388963,0.67502654
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7329292,0.0697158,0.36770993,1.0721364,0.70442647
82,gait,10,tempo,0.8107673525810242,0.5777954,0.23297197,0.2579029,0.93715143,0.6792486
83,gait,11,instability+jerk+rom,0.4363165497779846,0.8261897,0.38987315,0.60733646,1.1661482,0.5588117
90,lunge,18,clean,1.0,0.6706563,0.32934368,0.32048956,1.0421505,0.721661
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.7168229,0.14098173,0.34605193,1.050183,0.7041311
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.64981174,0.19063395,0.27523643,0.98331684,0.7080804
100,throw,4,instability,0.7168699502944946,0.56246156,0.1544084,0.29198664,0.9073001,0.6153135
106,gait,10,rom+tempo,0.5957818627357483,0.6816214,0.08583951,0.3788365,1.0300585,0.651222
107,overhead_press,11,jerk,0.9368828535079956,0.7683832,0.16849965,0.4358935,1.0674554,0.6315619
114,overhead_press,18,jerk,0.8139992356300354,0.6677878,0.14621145,0.3132928,0.993705,0.6804122
117,throw,21,clean,1.0,0.72105974,0.27894026,0.35837153,1.0619068,0.7035353
122,squat,2,clean,1.0,0.8343742,0.16562581,0.60240054,1.1537391,0.55133855
124,overhead_press,4,asymmetry,0.7296754121780396,0.723668,0.006007433,0.38218522,1.0356184,0.6534332
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.5852162,0.15583047,0.2827359,0.9639504,0.68121445
131,lunge,11,tempo,0.8352254033088684,0.7032241,0.13200128,0.3897892,1.0728278,0.6830386
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.52579015,0.038996488,0.2297804,0.8860481,0.65626764
141,lunge,21,rom,0.8736799359321594,0.7607404,0.11293954,0.45106384,1.0867842,0.6357204
146,overhead_press,2,instability,0.8017282485961914,0.6804961,0.12123215,0.3688461,0.99940145,0.6305554
148,overhead_press,4,clean,1.0,0.74675846,0.25324154,0.40072718,1.0489178,0.6481906
154,throw,10,compensation,0.6015304923057556,0.7679102,0.16637969,0.43792412,1.0989435,0.6610193
155,throw,11,instability+jerk,0.8403570055961609,0.7021095,0.13824749,0.3432416,1.0367336,0.69349205
162,throw,18,instability+tempo,0.6316795945167542,0.6287443,0.0029352903,0.25380346,0.9759538,0.7221503
165,gait,21,asymmetry,0.9303615689277649,0.80984217,0.1205194,0.5596106,1.1298196,0.570209
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.6922719,0.0045268536,0.33770135,1.0585227,0.7208214
172,throw,4,compensation+instability,0.658443808555603,0.6520675,0.006376326,0.30603233,0.9949366,0.6889043
178,throw,10,instability,0.7625966668128967,0.7068763,0.05572039,0.39101672,1.0338134,0.64279664
179,overhead_press,11,instability,0.7835549116134644,0.65237874,0.13117617,0.36405888,0.96035993,0.5963011
186,overhead_press,18,instability,0.8124698996543884,0.5737728,0.23869711,0.2629207,0.9005135,0.6375928
189,overhead_press,21,clean,1.0,0.7674054,0.23259461,0.4288028,1.0672581,0.63845533
194,throw,2,clean,1.0,0.6528401,0.34715992,0.28185496,1.007635,0.72578
196,gait,4,instability+jerk,0.6014768481254578,0.6148472,0.013370335,0.38296708,0.9675994,0.5846323
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.76850516,0.1537807,0.4903023,1.0812737,0.59097135
203,overhead_press,11,compensation+instability,0.5034309029579163,0.733184,0.22975308,0.43437836,1.0274893,0.5931109
210,lunge,18,clean,1.0,0.659968,0.34003198,0.29982132,1.0246704,0.72484905
213,gait,21,asymmetry+rom,0.49997907876968384,0.7184808,0.21850175,0.4263483,1.0549986,0.6286503
218,lunge,2,clean,1.0,0.73820615,0.26179385,0.41739866,1.082367,0.66496825
220,squat,4,compensation+jerk,0.47195813059806824,0.8136165,0.34165838,0.56493807,1.1348563,0.5699183
226,gait,10,jerk,0.9328513145446777,0.8572016,0.07564974,0.60919094,1.1515039,0.542313
227,overhead_press,11,tempo,0.8584722280502319,0.7804004,0.07807183,0.45898888,1.0811756,0.62218666
234,lunge,18,asymmetry,0.6582695245742798,0.6623578,0.0040882826,0.312416,1.0450082,0.7325922
237,throw,21,clean,1.0,0.70279104,0.29720896,0.33191648,1.0373534,0.70543694
242,gait,2,clean,1.0,0.78317946,0.21682054,0.49888086,1.0978341,0.59895325
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.47066787,0.06904939,0.16683817,0.86638886,0.6995507
250,throw,10,clean,1.0,0.752068,0.24793202,0.4030609,1.0844452,0.6813843
251,throw,11,asymmetry+instability,0.6759362816810608,0.6829743,0.0070379972,0.33364823,1.0173904,0.68374217
