index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.65416473,0.5073476,0.3846241,0.92370534,0.5390812
4,throw,4,clean,1.0,0.7074823,0.29251772,0.39775234,1.0172122,0.6194598
10,gait,10,asymmetry,0.7657848000526428,0.830835,0.065050185,0.56617093,1.095499,0.5293281
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.73104423,0.26503742,0.4435044,1.018584,0.5750796
18,lunge,18,jerk+rom,0.6231351494789124,0.7327522,0.109617054,0.40944672,1.0560577,0.646611
21,squat,21,asymmetry,0.7286849617958069,0.7688415,0.040156543,0.46853602,1.069147,0.600611
26,gait,2,instability+rom,0.6223016381263733,0.6182438,0.0040578246,0.36714324,0.86934435,0.5022011
28,overhead_press,4,compensation,0.6191835999488831,0.6569109,0.037727296,0.41975737,0.8940644,0.47430706
34,squat,10,compensation,0.796288013458252,0.8010554,0.0047673583,0.54766023,1.0544505,0.5067903
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7079138,0.085336864,0.4626364,0.9531912,0.4905548
42,lunge,18,clean,1.0,0.6927102,0.30728978,0.37625062,1.0091698,0.6329192
45,gait,21,rom+tempo,0.6019501090049744,0.6689515,0.0670014,0.40380308,0.9340999,0.5302968
50,lunge,2,asymmetry,0.6527721881866455,0.74425197,0.09147978,0.44809213,1.0404118,0.5923197
52,throw,4,clean,1.0,0.70478654,0.29521346,0.39370286,1.0158702,0.62216735
58,throw,10,jerk,0.9456272125244141,0.75416034,0.19146687,0.45533746,1.0529833,0.5976458
59,throw,11,rom,0.9367360472679138,0.7520264,0.18470967,0.42683893,1.0772138,0.6503748
66,lunge,18,tempo,0.8553433418273926,0.6954758,0.15986753,0.36493468,1.026017,0.66108227
69,gait,21,instability+rom,0.4477442800998688,0.5719493,0.12420502,0.367883,0.77601564,0.40813264
74,lunge,2,instability+jerk,0.6647371053695679,0.70746064,0.042723536,0.40766814,1.0072532,0.59958506
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.76413757,0.100924134,0.4300835,1.0981916,0.6681081
82,gait,10,tempo,0.8107673525810242,0.67145836,0.13930899,0.39473152,0.9481852,0.5534537
83,gait,11,instability+jerk+rom,0.4363165497779846,0.7816577,0.34534115,0.52641535,1.0369,0.5104847
90,lunge,18,clean,1.0,0.71395814,0.28604186,0.39767724,1.0302391,0.63256186
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.72174174,0.14590055,0.39765072,1.0458328,0.64818203
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.64134413,0.18216634,0.35112685,0.9315614,0.58043456
100,throw,4,instability,0.7168699502944946,0.5181716,0.19869834,0.3500408,0.6863024,0.33626163
106,gait,10,rom+tempo,0.5957818627357483,0.79437894,0.19859707,0.523491,1.0652668,0.5417758
107,overhead_press,11,jerk,0.9368828535079956,0.7477323,0.18915057,0.47227368,1.0231909,0.55091715
114,overhead_press,18,jerk,0.8139992356300354,0.6741749,0.13982433,0.38388297,0.9644668,0.5805838
117,throw,21,clean,1.0,0.7209916,0.2790084,0.4053449,1.0366383,0.63129336
122,squat,2,clean,1.0,0.758249,0.24175102,0.48288605,1.0336119,0.5507258
124,overhead_press,4,asymmetry,0.7296754121780396,0.71893823,0.010737181,0.4100607,1.0278158,0.6177551
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.670332,0.24094626,0.4126513,0.9280127,0.5153614
131,lunge,11,tempo,0.8352254033088684,0.7455534,0.08967203,0.46299994,1.0281068,0.56510687
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.5337412,0.04694751,0.34678343,0.72069895,0.37391552
