index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.716271,0.56945384,0.38572437,1.0209565,0.63523215
4,throw,4,clean,1.0,0.746201,0.25379902,0.41034564,1.018783,0.6084373
10,gait,10,asymmetry,0.7657848000526428,0.7459519,0.01983291,0.41687953,1.0155671,0.5986875
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.7701278,0.30412096,0.43242487,1.0118121,0.5793872
18,lunge,18,jerk+rom,0.6231351494789124,0.75794494,0.13480979,0.4175054,1.0118905,0.59438515
21,squat,21,asymmetry,0.7286849617958069,0.70890135,0.019783616,0.36662623,1.0205402,0.653914
26,gait,2,instability+rom,0.6223016381263733,0.7226522,0.10035056,0.3925011,1.0198184,0.6273173
28,overhead_press,4,compensation,0.6191835999488831,0.7600393,0.14085573,0.43761823,1.0262473,0.588629
34,squat,10,compensation,0.796288013458252,0.77639407,0.019893944,0.4423326,1.0135678,0.5712352
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7684408,0.024809897,0.44823536,1.0262157,0.5779803
42,lunge,18,clean,1.0,0.758704,0.241296,0.4185086,1.011862,0.59335345
45,gait,21,rom+tempo,0.6019501090049744,0.74394155,0.14199144,0.41398394,1.0150945,0.6011106
50,lunge,2,asymmetry,0.6527721881866455,0.76582813,0.113055944,0.42707047,1.0119957,0.5849252
52,throw,4,clean,1.0,0.74268353,0.25731647,0.40625772,1.0188334,0.61257565
58,throw,10,jerk,0.9456272125244141,0.7467418,0.19888544,0.41160628,1.0193304,0.6077241
59,throw,11,rom,0.9367360472679138,0.74370086,0.19303519,0.40785965,1.0191063,0.6112466
66,lunge,18,tempo,0.8553433418273926,0.75470483,0.10063851,0.41391096,1.0122148,0.5983038
69,gait,21,instability+rom,0.4477442800998688,0.7318291,0.28408483,0.4006483,1.0169992,0.61635095
74,lunge,2,instability+jerk,0.6647371053695679,0.76395255,0.09921545,0.4251974,1.0121361,0.58693874
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7429209,0.07970744,0.40634194,1.018793,0.6124511
82,gait,10,tempo,0.8107673525810242,0.7459451,0.06482226,0.4172739,1.0160278,0.5987539
83,gait,11,instability+jerk+rom,0.4363165497779846,0.7428411,0.30652457,0.41334632,1.0158904,0.60254407
90,lunge,18,clean,1.0,0.75759524,0.24240476,0.41699418,1.0117707,0.5947765
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.7471971,0.1713559,0.41007462,1.0172702,0.6071956
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.7364362,0.2772584,0.40107206,1.0208843,0.61981225
100,throw,4,instability,0.7168699502944946,0.7247014,0.007831454,0.38702062,1.0211924,0.63417184
106,gait,10,rom+tempo,0.5957818627357483,0.7464553,0.15067345,0.41735283,1.0154725,0.59811974
107,overhead_press,11,jerk,0.9368828535079956,0.780418,0.15646487,0.4625942,1.0258904,0.56329614
114,overhead_press,18,jerk,0.8139992356300354,0.76334804,0.050651193,0.4420022,1.0263063,0.5843041
117,throw,21,clean,1.0,0.75120074,0.24879926,0.41534624,1.0176039,0.6022576
