index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.57732004,0.4305029,0.16904476,0.9091376,0.7400929
4,throw,4,clean,1.0,0.712201,0.287799,0.31071743,0.94337606,0.6326586
10,gait,10,asymmetry,0.7657848000526428,0.7843108,0.018526018,0.46649054,1.0000836,0.53359306
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.74513954,0.27913272,0.3736831,0.9616295,0.5879464
18,lunge,18,jerk+rom,0.6231351494789124,0.68814963,0.06501448,0.28495014,0.90232277,0.61737263
21,squat,21,asymmetry,0.7286849617958069,0.50537026,0.2233147,0.09019184,0.8736205,0.78342867
26,gait,2,instability+rom,0.6223016381263733,0.7069456,0.08464396,0.34819612,0.94945383,0.6012577
28,overhead_press,4,compensation,0.6191835999488831,0.7171563,0.09797269,0.32481635,0.9374883,0.612672
34,squat,10,compensation,0.796288013458252,0.79139364,0.004894376,0.45763922,0.9888699,0.5312307
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.72609264,0.06715804,0.34425342,0.94805145,0.60379803
42,lunge,18,clean,1.0,0.6955049,0.3044951,0.29542738,0.90915626,0.6137289
45,gait,21,rom+tempo,0.6019501090049744,0.7823578,0.1804077,0.46804738,1.0073234,0.539276
50,lunge,2,asymmetry,0.6527721881866455,0.7514724,0.098700225,0.38698924,0.97177386,0.5847846
52,throw,4,clean,1.0,0.73651236,0.26348764,0.34591556,0.9609725,0.61505693
58,throw,10,jerk,0.9456272125244141,0.7522967,0.19333053,0.3695244,0.9775878,0.60806346
59,throw,11,rom,0.9367360472679138,0.7615118,0.17522424,0.3781567,0.9748727,0.59671605
66,lunge,18,tempo,0.8553433418273926,0.68125355,0.17408979,0.28527972,0.90320706,0.6179273
69,gait,21,instability+rom,0.4477442800998688,0.6954937,0.24774942,0.33867788,0.89368653,0.55500865
74,lunge,2,instability+jerk,0.6647371053695679,0.72436833,0.05963123,0.3424054,0.9480958,0.60569036
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7507509,0.08753747,0.3656302,0.9672943,0.60166407
82,gait,10,tempo,0.8107673525810242,0.7514342,0.059333146,0.42395878,1.0041208,0.58016205
83,gait,11,instability+jerk+rom,0.4363165497779846,0.7338727,0.29755616,0.38671795,0.9549159,0.56819797
90,lunge,18,clean,1.0,0.7479951,0.25200492,0.37872425,0.9548185,0.57609427
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.72964287,0.15380168,0.34261805,0.9557936,0.6131756
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.63193524,0.17275745,0.21976876,0.8590019,0.6392331
100,throw,4,instability,0.7168699502944946,0.6036644,0.11320555,0.21142477,0.81983787,0.6084131
106,gait,10,rom+tempo,0.5957818627357483,0.76260316,0.1668213,0.43089354,0.9936093,0.56271577
107,overhead_press,11,jerk,0.9368828535079956,0.7653951,0.17148775,0.40132463,0.9769917,0.5756671
114,overhead_press,18,jerk,0.8139992356300354,0.70789963,0.106099606,0.32722062,0.94181424,0.6145936
117,throw,21,clean,1.0,0.7602638,0.2397362,0.37712088,0.9685178,0.5913969
122,squat,2,clean,1.0,0.74496615,0.25503385,0.3809191,0.9570159,0.5760968
124,overhead_press,4,asymmetry,0.7296754121780396,0.742984,0.013308585,0.36086187,0.9586421,0.5977802
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.7170902,0.28770444,0.35608804,0.9424175,0.58632946
131,lunge,11,tempo,0.8352254033088684,0.7603386,0.0748868,0.39973146,0.9702861,0.5705546
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.51908374,0.03229007,0.09859625,0.79698086,0.6983846
141,lunge,21,rom,0.8736799359321594,0.77034223,0.103337705,0.42312318,0.9832876,0.5601644
146,overhead_press,2,instability,0.8017282485961914,0.72065705,0.0810712,0.33421883,0.9343039,0.600085
148,overhead_press,4,clean,1.0,0.77077585,0.22922415,0.40460396,0.9719486,0.56734467
154,throw,10,compensation,0.6015304923057556,0.7411297,0.1395992,0.3483101,0.96058506,0.61227494
155,throw,11,instability+jerk,0.8403570055961609,0.73955154,0.10080546,0.35299483,0.9598471,0.6068523
162,throw,18,instability+tempo,0.6316795945167542,0.6393322,0.0076525807,0.2270926,0.86294794,0.6358553
165,gait,21,asymmetry,0.9303615689277649,0.76042134,0.16994023,0.43349028,0.9988662,0.5653759
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.7203933,0.023594558,0.33811116,0.94811887,0.6100077
172,throw,4,compensation+instability,0.658443808555603,0.5639372,0.09450662,0.15705909,0.80329204,0.64623296
178,throw,10,instability,0.7625966668128967,0.69964665,0.062950015,0.30370462,0.9050502,0.6013456
179,overhead_press,11,instability,0.7835549116134644,0.62966526,0.15388966,0.23226795,0.84338236,0.6111144
186,overhead_press,18,instability,0.8124698996543884,0.51461625,0.29785365,0.11259106,0.78622997,0.67363894
189,overhead_press,21,clean,1.0,0.76262444,0.23737556,0.3938459,0.9655932,0.5717473
194,throw,2,clean,1.0,0.7070096,0.2929904,0.30652323,0.9384445,0.6319213
196,gait,4,instability+jerk,0.6014768481254578,0.4506903,0.15078655,-0.004782945,0.73870707,0.74349
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.7143361,0.09961164,0.33545676,0.94248056,0.60702384
203,overhead_press,11,compensation+instability,0.5034309029579163,0.7165709,0.21314001,0.3343263,0.93866384,0.6043376
210,lunge,18,clean,1.0,0.742438,0.25756198,0.3669641,0.94505924,0.57809514
213,gait,21,asymmetry+rom,0.49997907876968384,0.793479,0.29349995,0.49290428,1.0109334,0.5180291
218,lunge,2,clean,1.0,0.74835575,0.25164425,0.37967944,0.9702345,0.5905551
220,squat,4,compensation+jerk,0.47195813059806824,0.7299868,0.25802866,0.36290652,0.95125294,0.5883464
226,gait,10,jerk,0.9328513145446777,0.7043291,0.22852224,0.3470565,0.9765617,0.6295052
227,overhead_press,11,tempo,0.8584722280502319,0.76776224,0.090709984,0.39951965,0.97253025,0.57301056
234,lunge,18,asymmetry,0.6582695245742798,0.7603667,0.10209715,0.4057554,0.972399,0.5666436
237,throw,21,clean,1.0,0.76311046,0.23688954,0.3835503,0.9704806,0.58693033
242,gait,2,clean,1.0,0.7464473,0.25355268,0.4133072,1.0037967,0.5904895
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.42367378,0.11604348,0.03236475,0.7231842,0.6908195
250,throw,10,clean,1.0,0.76169616,0.23830384,0.38128686,0.97777665,0.5964898
251,throw,11,asymmetry+instability,0.6759362816810608,0.6543438,0.021592498,0.24626967,0.8526107,0.606341
258,gait,18,instability,0.8515012860298157,0.60631645,0.24518484,0.20981887,0.84738624,0.6375674
261,gait,21,jerk,0.847970187664032,0.69492733,0.15304285,0.32392064,0.9096867,0.5857661
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.7324648,0.05691302,0.3452859,0.96855724,0.62327135
268,lunge,4,asymmetry+rom,0.599364697933197,0.7338723,0.1345076,0.35887328,0.95918584,0.6003126
274,squat,10,asymmetry,0.9371042251586914,0.8103093,0.12679493,0.49576616,1.0062735,0.51050735
275,squat,11,asymmetry,0.7198100090026855,0.6092948,0.11051524,0.18758288,0.8750708,0.68748796
282,gait,18,jerk+rom,0.5802179574966431,0.74863356,0.1684156,0.4178449,0.9958461,0.5780012
285,overhead_press,21,tempo,0.7571746706962585,0.7453754,0.011799276,0.37026405,0.9572682,0.5870041
290,squat,2,clean,1.0,0.76338494,0.23661506,0.41444966,0.9740492,0.5595995
292,gait,4,compensation,0.6597895622253418,0.7145471,0.054757535,0.3607944,0.9533478,0.5925534
298,lunge,10,rom,0.8551280498504639,0.76035756,0.09477049,0.39728042,0.971159,0.5738785
299,overhead_press,11,clean,1.0,0.7582234,0.24177659,0.38443556,0.9656931,0.5812576
306,squat,18,asymmetry+instability,0.6159713268280029,0.47017795,0.14579338,0.028690033,0.6943993,0.66570926
309,lunge,21,clean,1.0,0.7598828,0.24011719,0.39283127,0.96218103,0.56934977
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.6735583,0.2690415,0.26705828,0.9144163,0.64735806
316,gait,4,instability,0.8673028349876404,0.69817233,0.1691305,0.32564086,0.9149739,0.58933306
322,overhead_press,10,jerk+rom,0.533585250377655,0.7887358,0.25515056,0.42851976,0.9844973,0.5559776
323,lunge,11,instability,0.7158548831939697,0.59800756,0.11784732,0.19936281,0.8145838,0.61522096
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.64101666,0.10143918,0.2417373,0.9006333,0.65889597
333,gait,21,jerk+tempo,0.7612156867980957,0.7919046,0.030688941,0.48590475,1.0077558,0.521851
338,overhead_press,2,compensation+tempo,0.7860798239707947,0.74380064,0.042279184,0.36556846,0.9633561,0.5977876
340,squat,4,instability+rom,0.4305742383003235,0.4507857,0.020211458,0.061567944,0.8068868,0.74531883
346,gait,10,rom+tempo,0.6254249215126038,0.7523649,0.12693995,0.40856892,0.9710789,0.56250995
347,lunge,11,asymmetry+compensation+rom,0.3447287976741791,0.77430564,0.42957684,0.4229083,0.98326683,0.5603585
354,throw,18,asymmetry+jerk+tempo,0.503637969493866,0.6633486,0.15971065,0.2571974,0.9201714,0.662974
357,gait,21,instability+rom,0.7043828964233398,0.76394945,0.059566557,0.43616772,0.9911543,0.5549866
362,squat,2,asymmetry,0.7497348785400391,0.5915746,0.15816027,0.17354538,0.8942636,0.72071826
364,squat,4,asymmetry+instability,0.6251307129859924,0.4983178,0.1268129,0.065985054,0.750082,0.68409693
370,throw,10,compensation+instability+jerk,0.49103835225105286,0.76741165,0.2763733,0.38708645,0.9763771,0.5892907
371,squat,11,compensation+tempo,0.4497998356819153,0.5847341,0.13493425,0.1619319,0.8786206,0.71668875
378,lunge,18,instability+rom,0.8393522500991821,0.64327925,0.196073,0.24210492,0.854426,0.61232114
381,squat,21,compensation,0.8087571859359741,0.79984456,0.008912623,0.47568104,0.9996631,0.52398205
386,overhead_press,2,jerk,0.8793323636054993,0.721867,0.15746534,0.33918282,0.9612826,0.62209976
388,gait,4,jerk,0.9255744218826294,0.75940716,0.16616726,0.4250209,0.97270143,0.5476805
394,squat,10,rom,0.6863469481468201,0.80371976,0.11737281,0.4797223,0.9968344,0.51711214
395,squat,11,asymmetry+compensation+instability,0.31405672430992126,0.43452573,0.120469004,-0.010992087,0.7701202,0.7811123
402,squat,18,clean,1.0,0.69598216,0.30401784,0.29877618,0.9030471,0.60427094
405,throw,21,asymmetry+instability+tempo,0.44181421399116516,0.73447794,0.29266372,0.344284,0.94649106,0.60220706
410,gait,2,compensation+jerk+rom,0.1791902333498001,0.74782896,0.56863874,0.40780187,0.98221827,0.5744164
412,lunge,4,rom,0.7134480476379395,0.7250933,0.0116452575,0.3521173,0.948515,0.5963977
418,lunge,10,compensation+instability,0.3183088004589081,0.59640306,0.27809426,0.21605572,0.8299161,0.61386037
419,overhead_press,11,instability+tempo,0.6920161247253418,0.62205064,0.06996548,0.21489379,0.82660437,0.61171055
426,overhead_press,18,tempo,0.9457070827484131,0.6825527,0.2631544,0.29452693,0.9345825,0.64005554
429,lunge,21,asymmetry+compensation+tempo,0.5825364589691162,0.6900217,0.107485235,0.30305907,0.91096234,0.60790324
434,squat,2,instability+tempo,0.6004575490951538,0.6452537,0.04479617,0.2560111,0.85930955,0.6032984
436,overhead_press,4,instability+jerk+tempo,0.6543729901313782,0.66221535,0.007842362,0.276444,0.8808708,0.60442686
442,throw,10,rom,0.6347213387489319,0.760257,0.12553567,0.3758,0.97485995,0.59905994
443,gait,11,jerk,0.8464126586914062,0.7683932,0.07801944,0.44329748,0.9984901,0.5551926
450,gait,18,clean,1.0,0.7256892,0.27431083,0.37954885,0.97171634,0.5921675
453,squat,21,compensation,0.6738412976264954,0.7480355,0.07419419,0.38597447,0.9503862,0.56441176
458,overhead_press,2,asymmetry+instability+tempo,0.30455252528190613,0.70154357,0.39699104,0.31054685,0.94017494,0.62962806
460,throw,4,jerk,0.9017106294631958,0.7675739,0.13413674,0.38924155,0.9779377,0.5886961
466,overhead_press,10,compensation+instability,0.3867131769657135,0.491139,0.10442582,0.09491116,0.7762026,0.68129146
467,throw,11,asymmetry+compensation,0.6922076344490051,0.7685879,0.07638025,0.3899911,0.9795172,0.5895261
474,squat,18,compensation+rom,0.537596583366394,0.63758206,0.09998548,0.22626925,0.8807959,0.65452665
477,squat,21,jerk+rom+tempo,0.6283333897590637,0.75192267,0.12358928,0.39601266,0.95929456,0.5632819
482,squat,2,instability+tempo,0.6757096648216248,0.61652285,0.059186816,0.21506819,0.84242797,0.62735975
484,overhead_press,4,compensation+rom,0.6211854815483093,0.4126036,0.2085819,0.0015602857,0.7573932,0.7558329
490,throw,10,tempo,0.8841723799705505,0.7621266,0.122045755,0.37985265,0.9738813,0.59402865
491,squat,11,compensation+instability,0.4419461190700531,0.68890786,0.24696174,0.2971798,0.8688469,0.5716671
498,gait,18,clean,1.0,0.7193293,0.2806707,0.37589023,0.9746618,0.5987716
501,lunge,21,jerk+tempo,0.6392510533332825,0.7628082,0.12355715,0.40336937,0.96751636,0.564147
506,throw,2,instability+rom,0.5616858005523682,0.56071496,0.00097084045,0.1454424,0.81218684,0.6667445
508,overhead_press,4,jerk,0.8333931565284729,0.7519941,0.08139908,0.3763426,0.96434176,0.58799917
514,gait,10,instability+tempo,0.6768627762794495,0.7368586,0.05999583,0.3878944,0.9370985,0.5492041
515,throw,11,asymmetry,0.8665193915367126,0.7587753,0.1077441,0.37642977,0.9750242,0.5985944
522,gait,18,jerk+rom,0.6952667236328125,0.7505774,0.055310667,0.4189056,0.9897244,0.5708188
525,lunge,21,compensation+rom,0.7570940256118774,0.5724567,0.18463731,0.16565916,0.83553624,0.66987705
530,lunge,2,jerk+tempo,0.8231753706932068,0.75259614,0.07057923,0.3893791,0.9734942,0.584115
532,overhead_press,4,jerk,0.8263574838638306,0.7378904,0.08846706,0.35667372,0.9591266,0.6024529
538,throw,10,rom,0.6461511850357056,0.73746985,0.09131867,0.34619266,0.96633327,0.6201406
539,squat,11,clean,1.0,0.7846061,0.2153939,0.4444605,0.9801611,0.53570056
546,lunge,18,asymmetry+tempo,0.5761939287185669,0.66679776,0.09060383,0.27028453,0.906343,0.63605845
549,throw,21,compensation+rom,0.39474111795425415,0.7750104,0.3802693,0.40004572,0.9761342,0.5760884
554,gait,2,compensation+tempo,0.7266247868537903,0.67686313,0.049761653,0.3129146,0.96392995,0.65101534
556,throw,4,asymmetry,0.8976228833198547,0.7172466,0.18037629,0.32251662,0.9527434,0.6302268
562,overhead_press,10,tempo,0.8458737730979919,0.77578884,0.07008493,0.41285425,0.97871345,0.5658592
563,overhead_press,11,jerk,0.8991842269897461,0.7782359,0.120948315,0.41660088,0.9785646,0.56196374
570,squat,18,instability+jerk,0.63695228099823,0.62769383,0.009258449,0.19815667,0.81172717,0.6135705
573,lunge,21,asymmetry,0.7164809703826904,0.70775515,0.008725822,0.327104,0.9389533,0.6118493
578,gait,2,compensation,0.7401727437973022,0.7475111,0.007338345,0.4070036,0.9821799,0.57517624
580,throw,4,instability,0.8659115433692932,0.6447847,0.22112685,0.23928872,0.87107897,0.6317903
586,gait,10,jerk+rom,0.7430433630943298,0.7078989,0.03514445,0.34703994,0.9496083,0.6025684
587,throw,11,compensation+instability+tempo,0.48294201493263245,0.6057513,0.12280926,0.18900335,0.8332459,0.6442425
594,gait,18,tempo,0.7689104080200195,0.7148493,0.054061115,0.36705953,0.9764022,0.6093427
597,lunge,21,jerk,0.8404654860496521,0.78670055,0.05376494,0.4381827,0.9825426,0.54435986
602,lunge,2,instability,0.9544654488563538,0.7009379,0.25352752,0.30888885,0.9378501,0.62896127
604,gait,4,asymmetry+instability,0.692274808883667,0.7708636,0.078588784,0.43442696,0.96570855,0.5312816
610,gait,10,compensation,0.8720332980155945,0.7684068,0.10362649,0.43775713,0.97799486,0.5402377
611,squat,11,asymmetry,0.7046337723731995,0.6990498,0.0055840015,0.29263973,0.89385664,0.6012169
618,squat,18,compensation,0.7018070816993713,0.31254745,0.38925964,-0.13477927,0.6492279,0.7840072
621,throw,21,rom,0.8544015288352966,0.74979687,0.10460466,0.36619106,0.96343935,0.5972483
626,gait,2,asymmetry+instability,0.43284764885902405,0.58182627,0.14897862,0.17116451,0.8481515,0.676987
628,throw,4,jerk+rom,0.536405622959137,0.7294191,0.19301349,0.34004015,0.9527964,0.61275625
634,throw,10,rom,0.6869253516197205,0.77286977,0.085944414,0.3948681,0.98097134,0.5861032
635,overhead_press,11,jerk+rom+tempo,0.44567355513572693,0.77006245,0.3243889,0.39962596,0.9725575,0.5729315
642,overhead_press,18,compensation,0.5717945098876953,0.36998224,0.20181227,-0.054378964,0.7010417,0.7554207
645,overhead_press,21,asymmetry,0.9388002157211304,0.72604316,0.21275705,0.34288338,0.9496592,0.6067759
650,lunge,2,compensation,0.6783596873283386,0.7543287,0.07596904,0.38837543,0.96811247,0.57973707
652,throw,4,compensation+jerk,0.7550598978996277,0.7178786,0.037181318,0.328782,0.9511527,0.6223707
658,throw,10,compensation,0.8505990505218506,0.73259705,0.118002,0.3372212,0.94262487,0.60540366
659,gait,11,asymmetry,0.7784010767936707,0.7484451,0.029955983,0.40117586,0.9726349,0.57145905
666,lunge,18,rom+tempo,0.7845106720924377,0.72318476,0.061325908,0.3350649,0.9258516,0.5907867
669,throw,21,asymmetry,0.8974103331565857,0.7514025,0.14600784,0.3660986,0.9621887,0.5960901
674,gait,2,instability+tempo,0.7163965702056885,0.75160986,0.03521329,0.40394557,0.9708252,0.56687963
676,overhead_press,4,clean,1.0,0.7396662,0.26033378,0.36426938,0.96186644,0.59759706
682,gait,10,jerk,0.8765293955802917,0.7530567,0.12347269,0.40890634,0.96813095,0.5592246
683,overhead_press,11,compensation,0.5817631483078003,0.7682291,0.18646598,0.40146202,0.97405857,0.57259655
690,lunge,18,compensation+instability,0.5900800824165344,0.5621293,0.027950764,0.15044639,0.82825613,0.6778097
693,lunge,21,clean,1.0,0.76877403,0.23122597,0.40974835,0.96921265,0.55946434
698,overhead_press,2,asymmetry+compensation,0.8024672865867615,0.7229149,0.07955241,0.33986068,0.9595798,0.61971915
700,lunge,4,jerk+rom+tempo,0.26057201623916626,0.68221635,0.42164433,0.28115475,0.92598355,0.6448288
706,lunge,10,clean,1.0,0.7636622,0.23633778,0.40029675,0.96812785,0.5678311
707,lunge,11,asymmetry,0.7973810434341431,0.7236912,0.07368982,0.34533906,0.9515054,0.60616636
