index,action,subject,combination,quality,score,abs_error,lower,upper,width
3,throw,3,asymmetry+compensation+rom,0.05000000074505806,0.7704769,0.72047687,0.4000194,1.0572729,0.6572535
4,throw,4,clean,1.0,0.7151666,0.28483337,0.32532424,0.98858595,0.6632617
12,throw,12,instability+jerk+tempo,0.4109596312046051,0.6056392,0.19467959,0.21490286,0.90500754,0.69010466
14,overhead_press,14,asymmetry,0.7201077342033386,0.6513609,0.068746805,0.29494262,0.9387786,0.64383596
15,overhead_press,15,clean,1.0,0.8023352,0.1976648,0.44364768,1.0198976,0.5762499
18,lunge,18,jerk+rom,0.6231351494789124,0.7096402,0.086505055,0.334508,0.986163,0.651655
27,lunge,3,asymmetry,0.8708134889602661,0.7936083,0.07720518,0.42287272,1.0299675,0.6070948
28,overhead_press,4,compensation,0.6191835999488831,0.62276363,0.0035800338,0.2650655,0.9015697,0.63650423
36,squat,12,asymmetry+rom+tempo,0.4428980052471161,0.64549327,0.20259526,0.27042362,0.9159838,0.64556015
38,overhead_press,14,jerk,0.9687501788139343,0.7444573,0.22429287,0.3549021,0.9716867,0.61678463
39,squat,15,instability+tempo,0.6660819053649902,0.64607817,0.020003736,0.30434614,0.8566184,0.55227226
42,lunge,18,clean,1.0,0.70507526,0.29492474,0.33055878,0.99099934,0.66044056
51,lunge,3,instability,0.9467174410820007,0.80565536,0.14106208,0.43169218,1.0272257,0.59553355
52,throw,4,clean,1.0,0.7351259,0.2648741,0.33812404,1.0026861,0.6645621
60,lunge,12,compensation,0.6757674217224121,0.76993346,0.09416604,0.39850873,1.0161898,0.6176811
62,squat,14,clean,1.0,0.83513093,0.16486907,0.49794918,1.0215592,0.52361006
63,overhead_press,15,asymmetry+tempo,0.7323458790779114,0.7755619,0.04321605,0.4062,1.0080972,0.6018972
66,lunge,18,tempo,0.8553433418273926,0.77829796,0.07704538,0.41234452,1.052825,0.64048046
75,throw,3,compensation,0.774483323097229,0.7688581,0.005625248,0.38206637,1.0408082,0.65874183
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7824985,0.11928505,0.39910513,1.0546393,0.6555342
84,throw,12,rom,0.6186443567276001,0.7520855,0.13344115,0.3582871,1.0117363,0.6534492
86,squat,14,compensation+rom,0.5152179002761841,0.846735,0.3315171,0.51579267,1.0369301,0.5211374
87,lunge,15,asymmetry+rom,0.7396173477172852,0.7069943,0.032623053,0.33793426,0.96431726,0.626383
90,lunge,18,clean,1.0,0.735089,0.264911,0.3548509,1.0019321,0.64708126
99,throw,3,jerk,0.9678546190261841,0.75918573,0.20866889,0.3823837,1.0404472,0.65806353
100,throw,4,instability,0.7168699502944946,0.5242769,0.19259304,0.12876798,0.7488544,0.62008643
108,overhead_press,12,instability,0.8204297423362732,0.6747961,0.14563364,0.28617185,0.90946454,0.6232927
110,throw,14,asymmetry,0.7797290086746216,0.764622,0.015107036,0.38473135,1.038785,0.6540536
111,gait,15,clean,1.0,0.8714749,0.12852508,0.5517564,1.0684206,0.51666427
114,overhead_press,18,jerk,0.8139992356300354,0.71547854,0.098520696,0.3609112,0.98892957,0.6280184
123,squat,3,clean,1.0,0.86505663,0.13494337,0.5589018,1.0578094,0.49890757
124,overhead_press,4,asymmetry,0.7296754121780396,0.7376258,0.007950366,0.32768637,0.9640412,0.6363548
132,squat,12,rom,0.8633508682250977,0.8421749,0.02117598,0.49360245,1.0352683,0.54166585
134,gait,14,instability,0.8234007954597473,0.58978695,0.23361385,0.23145542,0.85101426,0.6195588
135,overhead_press,15,asymmetry+instability+tempo,0.7331653833389282,0.7447215,0.011556089,0.36765718,0.9628046,0.59514743
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.4477862,0.039007455,0.09479743,0.7557883,0.6609909
147,lunge,3,instability+jerk+rom,0.6136631965637207,0.79212266,0.17845947,0.41971725,0.9979243,0.5782071
148,overhead_press,4,clean,1.0,0.7629221,0.23707789,0.38224834,0.9840198,0.6017715
156,overhead_press,12,compensation,0.9118240475654602,0.67040753,0.24141651,0.27570605,0.90776294,0.6320569
158,squat,14,tempo,0.7818124890327454,0.60430527,0.17750722,0.24235867,0.86442393,0.62206525
159,squat,15,compensation+instability,0.5108928680419922,0.71476185,0.20386899,0.37034798,0.91233176,0.5419838
162,throw,18,instability+tempo,0.6316795945167542,0.6940993,0.062419713,0.27439448,0.9472749,0.6728804
171,overhead_press,3,asymmetry+compensation+jerk,0.666130542755127,0.7706913,0.10456073,0.411314,1.0015763,0.5902623
172,throw,4,compensation+instability,0.658443808555603,0.65152574,0.0069180727,0.24880515,0.92581,0.6770048
180,overhead_press,12,asymmetry+rom,0.5517095923423767,0.682268,0.13055843,0.29830962,0.9431101,0.6448005
182,gait,14,asymmetry+jerk+tempo,0.6019634008407593,0.6954723,0.0935089,0.3748749,0.9492016,0.5743267
183,overhead_press,15,asymmetry+instability,0.5564269423484802,0.60486823,0.04844129,0.21332137,0.83298814,0.61966676
186,overhead_press,18,instability,0.8124698996543884,0.5696362,0.24283367,0.19561191,0.8116699,0.616058
195,gait,3,instability+jerk+tempo,0.473531574010849,0.47221187,0.0013197064,0.21546622,0.7277429,0.5122767
196,gait,4,instability+jerk,0.6014768481254578,0.6193127,0.017835855,0.24998283,0.83437514,0.5843923
204,lunge,12,asymmetry+tempo,0.7782348990440369,0.7067813,0.07145357,0.28874725,0.9588397,0.67009246
206,lunge,14,tempo,0.9480079412460327,0.78309345,0.16491449,0.41151524,1.0277799,0.6162647
207,squat,15,compensation+jerk+rom,0.48951151967048645,0.8109075,0.32139596,0.46027076,1.0022687,0.5419979
210,lunge,18,clean,1.0,0.7447008,0.2552992,0.34999704,1.0084996,0.6585026
219,overhead_press,3,asymmetry+compensation+rom,0.2783487141132355,0.78371567,0.5053669,0.43809557,1.027525,0.5894294
220,squat,4,compensation+jerk,0.47195813059806824,0.8299493,0.3579912,0.50306004,1.0360787,0.53301865
228,gait,12,tempo,0.8894162178039551,0.72924286,0.16017336,0.3998055,0.9753046,0.5754991
230,overhead_press,14,jerk,0.8012246489524841,0.7598428,0.041381836,0.37945116,0.9907958,0.61134464
231,lunge,15,jerk+tempo,0.7330430746078491,0.6979315,0.035111547,0.30996245,0.9513178,0.64135534
234,lunge,18,asymmetry,0.6582695245742798,0.7499282,0.09165865,0.3385448,1.0003359,0.66179115
243,gait,3,jerk,0.8118298053741455,0.8430328,0.031202972,0.50488585,1.0414991,0.5366133
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.5234362,0.016281068,0.19523908,0.7901753,0.59493625
252,lunge,12,jerk+rom,0.8464820981025696,0.7824329,0.064049184,0.41416246,1.0248208,0.61065835
254,overhead_press,14,asymmetry+jerk,0.7737530469894409,0.73227805,0.041474998,0.34720904,0.97249556,0.6252865
255,overhead_press,15,rom,0.8806673288345337,0.8092154,0.0714519,0.4449972,1.0277479,0.5827507
258,gait,18,instability,0.8515012860298157,0.7371407,0.11436057,0.41985375,0.93550056,0.5156468
267,squat,3,rom+tempo,0.7582494020462036,0.8299946,0.07174522,0.5092328,1.027616,0.5183832
268,lunge,4,asymmetry+rom,0.599364697933197,0.66871434,0.06934965,0.27740216,0.94256866,0.6651665
276,lunge,12,rom,0.7626014947891235,0.7093104,0.053291082,0.30796194,0.9628674,0.65490544
278,lunge,14,tempo,0.8736673593521118,0.7466825,0.12698483,0.36949474,0.99531573,0.625821
279,overhead_press,15,jerk,0.9358024597167969,0.83302885,0.10277361,0.45736927,1.0312392,0.5738699
282,gait,18,jerk+rom,0.5802179574966431,0.6785443,0.098326325,0.36373913,0.9167713,0.55303216
291,squat,3,compensation+rom,0.7038654088973999,0.73647296,0.032607555,0.3832553,0.94799757,0.56474227
292,gait,4,compensation,0.6597895622253418,0.6757562,0.015966654,0.3503965,0.8977891,0.5473926
300,squat,12,jerk,0.8354843258857727,0.7831179,0.052366436,0.42289162,0.9799592,0.5570676
302,throw,14,compensation+rom+tempo,0.3267996311187744,0.7852095,0.45840985,0.40009022,1.0543969,0.65430665
303,overhead_press,15,jerk,0.8453587889671326,0.7668441,0.078514695,0.4125387,1.0075932,0.59505445
306,squat,18,asymmetry+instability,0.6159713268280029,0.7164784,0.10050708,0.3177876,0.9348675,0.6170799
315,lunge,3,instability+rom,0.639665424823761,0.70077395,0.06110853,0.29441392,0.929556,0.6351421
316,gait,4,instability,0.8673028349876404,0.6181852,0.24911761,0.25960827,0.86172706,0.6021188
324,squat,12,compensation+instability+rom,0.4080919921398163,0.40972248,0.001630485,0.08980513,0.7113793,0.62157416
326,gait,14,compensation+instability,0.5953934192657471,0.72261226,0.12721884,0.36248332,0.913735,0.55125165
327,lunge,15,tempo,0.8273786902427673,0.7365064,0.09087229,0.34136176,0.9738695,0.63250774
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.66358215,0.078873694,0.28355742,0.9091343,0.6255769
339,throw,3,asymmetry+compensation+instability,0.46615609526634216,0.6385823,0.1724262,0.22087577,0.89935875,0.678483
340,squat,4,instability+rom,0.4305742383003235,0.5759034,0.14532918,0.2045529,0.883542,0.6789891
348,overhead_press,12,jerk,0.8163247108459473,0.78649217,0.029832542,0.38965642,0.990597,0.6009406
350,lunge,14,instability+rom,0.7089483737945557,0.6818777,0.027070701,0.29228893,0.9326718,0.6403829
351,squat,15,asymmetry+compensation+tempo,0.572838544845581,0.7918366,0.21899807,0.44573498,0.9893018,0.5435668
354,throw,18,asymmetry+jerk+tempo,0.503637969493866,0.760077,0.25643903,0.38197476,1.0612915,0.6793167
363,lunge,3,instability,0.7638792991638184,0.5326624,0.23121691,0.1458551,0.7905655,0.6447104
364,squat,4,asymmetry+instability,0.6251307129859924,0.60657245,0.018558264,0.22645517,0.8282929,0.60183775
372,overhead_press,12,compensation,0.8115660548210144,0.7072561,0.104309976,0.34375143,0.97312057,0.62936914
374,throw,14,compensation+instability+rom,0.15646488964557648,0.74114627,0.5846814,0.33512235,0.9940828,0.65896046
375,lunge,15,compensation+jerk+rom,0.457777738571167,0.72986394,0.2720862,0.33457577,0.98049647,0.6459207
378,lunge,18,instability+rom,0.8393522500991821,0.6745929,0.16475934,0.28988808,0.96261,0.6727219
387,throw,3,instability+jerk,0.583557665348053,0.55379564,0.02976203,0.14559294,0.8600006,0.7144077
388,gait,4,jerk,0.9255744218826294,0.84313285,0.08244157,0.49632037,1.0109729,0.5146525
396,squat,12,compensation+jerk,0.5413228273391724,0.8200324,0.2787096,0.48016232,1.0141485,0.53398615
398,squat,14,compensation+jerk+tempo,0.5618892312049866,0.80013096,0.23824173,0.47007668,1.0029356,0.53285897
399,overhead_press,15,jerk,0.9288033246994019,0.81701255,0.111790776,0.4553736,1.0326233,0.5772497
