index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.37595418,0.22913705,0.23748729,1.4126015,1.1751142
4,throw,4,clean,1.0,0.42790654,0.5720935,0.15127921,1.3743792,1.2231
10,gait,2,asymmetry,0.7657848000526428,0.37625933,0.38952547,0.23698631,1.4101514,1.1731651
12,throw,4,instability+jerk+tempo,0.4109596312046051,0.42682585,0.01586622,0.14760062,1.3726916,1.225091
18,lunge,2,jerk+rom,0.6231351494789124,0.41996336,0.20317179,0.15061893,1.3817323,1.2311134
20,gait,4,asymmetry,0.7358472347259521,0.39053828,0.34530896,0.23197939,1.3402705,1.1082911
26,gait,2,instability+rom,0.6223016381263733,0.37618804,0.2461136,0.23628567,1.4094962,1.1732105
28,overhead_press,4,compensation,0.6191835999488831,0.41317102,0.20601258,0.1583041,1.3924068,1.2341027
34,squat,2,compensation,0.796288013458252,0.4070523,0.3892357,0.16134158,1.4036335,1.2422919
36,squat,4,asymmetry+rom+tempo,0.4428980052471161,0.4119884,0.030909598,0.16331737,1.4033035,1.2399862
42,lunge,2,clean,1.0,0.42090085,0.5790992,0.15087694,1.3811245,1.2302475
44,squat,4,clean,1.0,0.40656495,0.59343505,0.16274035,1.4032701,1.2405298
50,lunge,2,asymmetry,0.6527721881866455,0.42151174,0.23126045,0.1491807,1.3803802,1.2311995
52,throw,4,clean,1.0,0.42880213,0.57119787,0.15354328,1.3754236,1.2218803
58,throw,2,jerk,0.9456272125244141,0.4280882,0.517539,0.1502926,1.37503,1.2247374
60,lunge,4,compensation,0.6757674217224121,0.42092,0.2548474,0.15253809,1.3806167,1.2280786
66,lunge,2,tempo,0.8553433418273926,0.42072573,0.4346176,0.14851682,1.3804498,1.231933
68,squat,4,asymmetry+rom,0.33917710185050964,0.41933718,0.08016008,0.16994838,1.4045477,1.2345994
74,lunge,2,instability+jerk,0.6647371053695679,0.4205894,0.24414772,0.14982015,1.3814242,1.2316041
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.42927623,0.2339372,0.15409626,1.3753027,1.2212064
82,gait,2,tempo,0.8107673525810242,0.37603247,0.43473488,0.23589024,1.4091438,1.1732535
84,throw,4,rom,0.6186443567276001,0.4280051,0.19063926,0.1503103,1.3733304,1.2230201
90,lunge,2,clean,1.0,0.41940692,0.5805931,0.14825976,1.3802476,1.2319878
92,throw,4,clean,1.0,0.42879978,0.57120025,0.15303296,1.37426,1.2212269
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.42650905,0.03266874,0.14900462,1.3742126,1.225208
100,throw,4,instability,0.7168699502944946,0.426792,0.29007795,0.1508113,1.3746288,1.2238175
106,gait,2,rom+tempo,0.5957818627357483,0.37627006,0.2195118,0.23649076,1.4103593,1.1738685
108,overhead_press,4,instability,0.8204297423362732,0.41404524,0.4063845,0.16163772,1.3961396,1.2345018
114,overhead_press,2,jerk,0.8139992356300354,0.41362992,0.40036932,0.15773225,1.393899,1.2361667
116,throw,4,asymmetry,0.7175616025924683,0.42778862,0.289773,0.14903629,1.3721133,1.223077
122,squat,2,clean,1.0,0.40706953,0.59293044,0.1591393,1.4018847,1.2427454
