index,action,subject,combination,quality,score,abs_error,lower,upper,width
0,squat,0,compensation+jerk,0.3810606896877289,0.8897127,0.508652,0.7012512,1.1053306,0.40407938
3,throw,3,asymmetry+compensation+rom,0.05000000074505806,0.820038,0.770038,0.54434973,1.0396674,0.49531764
6,gait,6,compensation+tempo,0.7995439767837524,0.719817,0.079726994,0.4186089,0.911938,0.4933291
30,lunge,6,compensation+instability+rom,0.43085142970085144,0.60668594,0.1758345,0.31569275,0.7367189,0.42102614
54,squat,6,compensation+tempo,0.6962929368019104,0.84297484,0.1466819,0.61726266,1.0250286,0.40776592
57,lunge,9,compensation+jerk,0.8368551731109619,0.7710071,0.06584805,0.49708605,0.9903218,0.49323577
67,gait,19,compensation+rom+tempo,0.3355877697467804,0.668987,0.3333992,0.35498822,0.86322254,0.5082343
86,squat,14,compensation+rom,0.5152179002761841,0.9143525,0.39913458,0.7754204,1.1461099,0.3706895
89,gait,17,compensation+tempo,0.5749825835227966,0.5560279,0.018954694,0.32773674,0.753393,0.42565626
97,overhead_press,1,asymmetry+compensation+rom,0.4823155105113983,0.80645615,0.32414064,0.5732346,0.97871536,0.40548074
102,lunge,6,compensation+instability+tempo,0.5448080897331238,0.63545907,0.090650976,0.33356485,0.87706244,0.54349756
105,throw,9,asymmetry+compensation,0.4538540542125702,0.72225565,0.2684016,0.43365246,0.97273076,0.5390783
109,throw,13,compensation+jerk+tempo,0.34438973665237427,0.74161285,0.39722311,0.4668256,0.9913139,0.5244883
133,throw,13,compensation+instability+rom,0.3281150162220001,0.6746606,0.3465456,0.3717699,0.92806995,0.55630004
140,gait,20,compensation+instability,0.31232917308807373,0.74515325,0.43282408,0.46797955,0.9655292,0.49754965
145,gait,1,asymmetry+compensation,0.426499605178833,0.7436224,0.31712282,0.4706697,0.96781015,0.49714047
149,gait,5,compensation+instability+tempo,0.4421163499355316,0.49015665,0.0480403,0.22680932,0.6949668,0.46815747
159,squat,15,compensation+instability,0.5108928680419922,0.8328601,0.32196724,0.6051887,1.0385227,0.433334
166,overhead_press,22,asymmetry+compensation+rom,0.06056974455714226,0.81887573,0.75830597,0.5757522,0.9764006,0.40064842
169,gait,1,compensation+rom,0.7701099514961243,0.8362888,0.06617886,0.56011814,1.019047,0.45892888
171,overhead_press,3,asymmetry+compensation+jerk,0.666130542755127,0.8714461,0.20531553,0.65523565,1.0602758,0.40504014
172,throw,4,compensation+instability,0.658443808555603,0.6985905,0.04014671,0.43219048,0.9507009,0.5185104
185,gait,17,compensation+jerk,0.48456621170043945,0.86912477,0.38455856,0.63186437,1.0807521,0.44888777
190,overhead_press,22,asymmetry+compensation+jerk,0.46633684635162354,0.820726,0.35438913,0.5449689,1.0121756,0.46720666
203,overhead_press,11,compensation+instability,0.5034309029579163,0.7712938,0.26786292,0.5104275,0.9671675,0.45674002
207,squat,15,compensation+jerk+rom,0.48951151967048645,0.87740076,0.38788924,0.69540656,1.0996771,0.40427053
208,lunge,16,compensation+jerk,0.5129455327987671,0.7229914,0.21004587,0.40321633,0.9573451,0.55412877
211,lunge,19,compensation+tempo,0.6187010407447815,0.8025241,0.18382305,0.548116,1.0014793,0.45336324
219,overhead_press,3,asymmetry+compensation+rom,0.2783487141132355,0.8629592,0.58461046,0.6629529,1.0644794,0.40152645
220,squat,4,compensation+jerk,0.47195813059806824,0.87281644,0.4008583,0.6877284,1.0889452,0.40121675
221,overhead_press,5,asymmetry+compensation+instability,0.3413856327533722,0.73488796,0.39350232,0.5098588,0.9136461,0.4037873
233,throw,17,compensation+instability,0.5163650512695312,0.73052067,0.21415561,0.44599438,0.96703875,0.5210444
239,gait,23,compensation+tempo,0.5164236426353455,0.65113646,0.13471282,0.32657313,0.84711516,0.520542
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.7511074,0.21139014,0.55456173,0.9276645,0.37310278
246,gait,6,compensation+instability,0.4974834620952606,0.5492818,0.051798314,0.25638124,0.74779546,0.49141422
270,squat,6,compensation+jerk+tempo,0.7509700059890747,0.90182805,0.15085804,0.7471713,1.1128738,0.3657025
271,squat,7,asymmetry+compensation+instability,0.37088942527770996,0.6899884,0.31909895,0.38930833,0.92407066,0.5347623
273,overhead_press,9,asymmetry+compensation+tempo,0.27073872089385986,0.85408133,0.5833426,0.6114927,1.0334394,0.4219467
281,throw,17,compensation+jerk,0.75607830286026,0.80909884,0.053020537,0.5680176,1.0479332,0.47991562
283,lunge,19,asymmetry+compensation,0.7157403230667114,0.86508006,0.14933974,0.6651665,1.0603714,0.3952049
286,gait,22,asymmetry+compensation,0.5660704970359802,0.87831247,0.31224197,0.6254577,1.0637463,0.43828863
291,squat,3,compensation+rom,0.7038654088973999,0.86515975,0.16129434,0.6816533,1.0930221,0.4113688
294,throw,6,asymmetry+compensation+jerk,0.6412285566329956,0.79492354,0.15369499,0.54024786,1.0336876,0.49343973
302,throw,14,compensation+rom+tempo,0.3267996311187744,0.8275197,0.5007201,0.5813287,1.0564795,0.47515076
324,squat,12,compensation+instability+rom,0.4080919921398163,0.640013,0.23192099,0.33297038,0.84275544,0.50978506
326,gait,14,compensation+instability,0.5953934192657471,0.7298153,0.13442189,0.48651865,0.97095436,0.4844357
329,lunge,17,compensation+instability+tempo,0.4841829836368561,0.6309561,0.14677313,0.33667243,0.874622,0.53794956
