index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.6402751,0.49345797,0.2512864,0.8809489,0.6296625
5,throw,5,instability,0.710612952709198,0.6140196,0.09659338,0.3319733,0.83638525,0.50441194
8,lunge,8,rom+tempo,0.6552666425704956,0.73129064,0.076023996,0.3433483,0.9109715,0.56762326
12,throw,12,instability+jerk+tempo,0.4109596312046051,0.6629137,0.25195405,0.28454256,0.88421327,0.5996707
13,lunge,13,instability+jerk,0.7813729047775269,0.80339134,0.022018433,0.46367353,0.9949592,0.53128564
19,gait,19,asymmetry+instability,0.6445237398147583,0.5656328,0.07889092,0.21371734,0.84001946,0.6263021
23,squat,23,tempo,0.8272866606712341,0.5876563,0.23963034,0.2840721,0.8403819,0.5563098
25,squat,1,rom+tempo,0.5269128084182739,0.70526654,0.17835373,0.36870998,0.9290696,0.5603596
26,gait,2,instability+rom,0.6223016381263733,0.6304685,0.00816685,0.23882574,0.8594381,0.6206124
28,overhead_press,4,compensation,0.6191835999488831,0.6489185,0.02973491,0.3106765,0.9026798,0.59200335
31,throw,7,compensation,0.6064207553863525,0.7589664,0.15254563,0.41100907,0.96371555,0.5527065
36,squat,12,asymmetry+rom+tempo,0.4428980052471161,0.61230284,0.16940483,0.24541914,0.8675095,0.62209034
46,lunge,22,rom+tempo,0.7818113565444946,0.75835186,0.023459494,0.40199617,0.9726845,0.57068837
49,overhead_press,1,rom,0.7696016430854797,0.7800864,0.010484755,0.4566106,0.9691813,0.51257074
53,lunge,5,clean,1.0,0.75426954,0.24573046,0.42777476,0.97674656,0.5489718
54,squat,6,compensation+tempo,0.6962929368019104,0.7670105,0.07071757,0.3938761,0.94527996,0.5514039
56,lunge,8,instability+jerk+rom,0.5627883672714233,0.6907599,0.12797153,0.35094112,0.86266583,0.5117247
68,squat,20,asymmetry+rom,0.33917710185050964,0.7150107,0.3758336,0.30813327,0.9082328,0.60009956
69,gait,21,instability+rom,0.4477442800998688,0.66328764,0.21554336,0.319229,0.8782261,0.5589971
70,throw,22,instability+jerk,0.6898825168609619,0.7956246,0.1057421,0.43097848,0.9607886,0.52981013
74,lunge,2,instability+jerk,0.6647371053695679,0.78196204,0.11722493,0.4030917,0.9897678,0.5866761
81,lunge,9,jerk,0.9665766954421997,0.7611375,0.20543921,0.38947472,0.9827455,0.5932708
84,throw,12,rom,0.6186443567276001,0.84021527,0.22157091,0.5196305,0.99919987,0.47956938
89,gait,17,compensation+tempo,0.5749825835227966,0.47352758,0.101455,0.19859722,0.77420735,0.57561016
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.7478889,0.17204773,0.37721717,0.9608286,0.5836114
94,gait,22,clean,1.0,0.7674948,0.2325052,0.3424394,0.95652074,0.6140813
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.75505143,0.29587364,0.403358,0.96640587,0.5630479
99,throw,3,jerk,0.9678546190261841,0.83058715,0.13726747,0.48791805,1.00338,0.5154619
100,throw,4,instability,0.7168699502944946,0.6351027,0.08176726,0.27315924,0.79152703,0.51836777
103,gait,7,asymmetry,0.755338728427887,0.7159,0.039438725,0.33427,0.94543135,0.61116135
105,throw,9,asymmetry+compensation,0.4538540542125702,0.7618768,0.30802277,0.4185085,0.9804541,0.56194556
106,gait,10,rom+tempo,0.5957818627357483,0.7461481,0.15036625,0.35116026,0.93287337,0.5817131
111,gait,15,clean,1.0,0.8366648,0.1633352,0.45725888,0.9769404,0.5196815
112,lunge,16,compensation,0.7331940531730652,0.7027115,0.03048253,0.32337636,0.9213747,0.5979983
117,throw,21,clean,1.0,0.79485434,0.20514566,0.4426405,0.986732,0.54409146
121,overhead_press,1,jerk,0.8958802223205566,0.8517624,0.04411781,0.5275788,1.020472,0.49289328
124,overhead_press,4,asymmetry,0.7296754121780396,0.8047786,0.07510316,0.43023762,0.973907,0.54366934
126,lunge,6,jerk+rom,0.8683153986930847,0.7309944,0.137321,0.35917825,0.9511982,0.59202
136,squat,16,asymmetry+instability+jerk,0.2957446277141571,0.6159271,0.32018247,0.26994663,0.8347644,0.5648178
141,lunge,21,rom,0.8736799359321594,0.8024581,0.07122183,0.44015473,1.001487,0.5613323
142,overhead_press,22,asymmetry,0.8805460333824158,0.8052749,0.07527113,0.44159755,0.99527276,0.5536752
144,squat,0,rom,0.7557941675186157,0.84696853,0.091174364,0.47312608,1.0069512,0.53382516
147,lunge,3,instability+jerk+rom,0.6136631965637207,0.7989365,0.18527329,0.39163172,0.94080734,0.5491756
150,throw,6,asymmetry+rom+tempo,0.45335859060287476,0.823128,0.3697694,0.48863876,0.99728954,0.5086508
153,squat,9,clean,1.0,0.86196846,0.13803154,0.5123963,1.0347785,0.5223822
158,squat,14,tempo,0.7818124890327454,0.5837977,0.1980148,0.20866883,0.8142942,0.6056254
160,lunge,16,asymmetry+rom,0.5710409879684448,0.7363328,0.16529179,0.34087405,0.94303346,0.6021594
162,throw,18,instability+tempo,0.6316795945167542,0.752605,0.12092543,0.3544537,0.9427748,0.5883211
164,squat,20,jerk,0.895587146282196,0.8528621,0.042725027,0.49489358,1.0086013,0.51370776
173,throw,5,clean,1.0,0.9149355,0.08506447,0.6958044,1.0834291,0.38762468
181,overhead_press,13,instability+jerk+tempo,0.6106554269790649,0.7249759,0.11432046,0.3094567,0.8327386,0.5232819
186,overhead_press,18,instability,0.8124698996543884,0.69028246,0.122187436,0.3200443,0.84996295,0.5299187
189,overhead_press,21,clean,1.0,0.872992,0.12700802,0.5504053,1.0363679,0.48596257
194,throw,2,clean,1.0,0.79503244,0.20496756,0.4172751,0.96073174,0.5434567
195,gait,3,instability+jerk+tempo,0.473531574010849,0.69888055,0.22534898,0.3617334,0.82997286,0.46823946
199,lunge,7,instability+rom+tempo,0.5383740067481995,0.7422796,0.20390558,0.35559234,0.9488975,0.5933051
201,lunge,9,clean,1.0,0.78043574,0.21956426,0.42768744,0.999244,0.57155657
206,lunge,14,tempo,0.9480079412460327,0.76137024,0.1866377,0.3968048,0.96196467,0.56515986
208,lunge,16,compensation+jerk,0.5129455327987671,0.7014325,0.188487,0.29734913,0.94815016,0.65080106
209,lunge,17,clean,1.0,0.6937091,0.30629092,0.32667938,0.91182256,0.5851432
212,overhead_press,20,instability,0.9080037474632263,0.7253682,0.18263555,0.37282556,0.9352936,0.56246805
220,squat,4,compensation+jerk,0.47195813059806824,0.79085976,0.31890163,0.41261807,0.9791107,0.5664927
222,lunge,6,instability+tempo,0.5832141637802124,0.44787163,0.13534254,0.11332271,0.70200014,0.5886774
234,lunge,18,asymmetry,0.6582695245742798,0.80460864,0.14633912,0.42177132,1.0036998,0.5819285
238,overhead_press,22,instability,0.9465264678001404,0.7874005,0.15912598,0.40404627,0.96975625,0.56570995
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.6315024,0.09178513,0.34065375,0.85103977,0.510386
245,lunge,5,clean,1.0,0.73748004,0.26251996,0.40347853,0.9605733,0.5570948
253,squat,13,tempo,0.8482858538627625,0.673252,0.17503387,0.3378043,0.89619553,0.5583912
264,throw,0,asymmetry+tempo,0.5494239926338196,0.79203534,0.24261135,0.44138148,0.9796268,0.5382453
269,squat,5,jerk,0.8874727487564087,0.81976694,0.06770581,0.46527672,0.97522676,0.50995004
270,squat,6,compensation+jerk+tempo,0.7509700059890747,0.8237266,0.07275659,0.4627938,0.99375856,0.53096473
273,overhead_press,9,asymmetry+compensation+tempo,0.27073872089385986,0.83601665,0.56527793,0.46581003,0.9965452,0.53073514
274,squat,10,asymmetry,0.9371042251586914,0.84446645,0.09263778,0.48659086,0.98479897,0.4982081
284,squat,20,rom,0.6468349695205688,0.68138254,0.034547567,0.30927497,0.8911168,0.5818418
292,gait,4,compensation,0.6597895622253418,0.699783,0.039993465,0.29076862,0.86694,0.5761714
296,lunge,8,tempo,0.9251602292060852,0.84109145,0.084068775,0.5235856,1.0354407,0.51185507
297,squat,9,jerk,0.8993183374404907,0.86451703,0.034801304,0.5225684,1.0423646,0.5197962
299,overhead_press,11,clean,1.0,0.84330773,0.15669227,0.51630837,1.012336,0.49602765
313,overhead_press,1,asymmetry+instability+tempo,0.5820032954216003,0.76836246,0.18635917,0.41336983,0.9097411,0.49637127
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.7034263,0.29890952,0.32367858,0.9312645,0.6075859
325,overhead_press,13,compensation,0.6956314444541931,0.7969317,0.10130024,0.45775396,0.9779666,0.52021265
326,gait,14,compensation+instability,0.5953934192657471,0.7811449,0.1857515,0.41062143,0.9263452,0.5157238
329,lunge,17,compensation+instability+tempo,0.4841829836368561,0.6093425,0.12515953,0.22829744,0.8064039,0.5781064
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.7660934,0.023637533,0.39314464,0.9304924,0.5373478
334,squat,22,jerk,0.8071894645690918,0.8565312,0.04934174,0.4871858,1.0066507,0.51946485
337,squat,1,tempo,0.9090326428413391,0.750265,0.15876764,0.41145745,0.9522686,0.5408112
340,squat,4,instability+rom,0.4305742383003235,0.6069339,0.17635965,0.21229607,0.86994296,0.6576469
344,gait,8,clean,1.0,0.8506785,0.1493215,0.4598508,0.9868242,0.5269734
346,gait,10,rom+tempo,0.6254249215126038,0.6432329,0.01780796,0.29164535,0.91747636,0.625831
350,lunge,14,instability+rom,0.7089483737945557,0.6778929,0.03105545,0.30873606,0.86562777,0.5568917
353,gait,17,asymmetry+instability,0.6886914968490601,0.7318111,0.04311961,0.35439637,0.8765578,0.5221615
356,gait,20,clean,1.0,0.82154983,0.17845017,0.41273597,0.9632304,0.55049443
357,gait,21,instability+rom,0.7043828964233398,0.8100014,0.10561848,0.41219857,0.9489423,0.53674376
358,lunge,22,asymmetry+rom,0.6370325088500977,0.75159615,0.114563644,0.3721422,0.95796037,0.5858182
363,lunge,3,instability,0.7638792991638184,0.6498864,0.11399287,0.29560897,0.83965623,0.54404724
365,squat,5,jerk+tempo,0.8210530281066895,0.8049411,0.01611191,0.46442738,0.9782231,0.51379573
371,squat,11,compensation+tempo,0.4497998356819153,0.5822964,0.13249654,0.23442253,0.8337407,0.59931815
374,throw,14,compensation+instability+rom,0.15646488964557648,0.8078025,0.6513376,0.44445094,0.9688444,0.52439344
380,overhead_press,20,compensation,0.8335395455360413,0.71716166,0.11637789,0.38574716,0.9137646,0.5280174
381,squat,21,compensation,0.8087571859359741,0.8341739,0.025416732,0.46175584,1.0018579,0.540102
386,overhead_press,2,jerk,0.8793323636054993,0.8451701,0.034162283,0.49299392,1.0090183,0.51602435
388,gait,4,jerk,0.9255744218826294,0.7760395,0.14953494,0.35685027,0.9125004,0.5556501
389,squat,5,asymmetry+jerk+tempo,0.5032008290290833,0.6379447,0.13474387,0.27671477,0.87495923,0.5982444
391,throw,7,tempo,0.8340728878974915,0.7960476,0.03802526,0.45782986,0.99355793,0.5357281
398,squat,14,compensation+jerk+tempo,0.5618892312049866,0.68496907,0.12307984,0.3153522,0.90146315,0.58611095
401,squat,17,compensation+instability,0.8380400538444519,0.7788636,0.059176445,0.40984038,0.9585422,0.5487019
403,throw,19,rom,0.7694568634033203,0.7834058,0.013948917,0.418521,0.9610903,0.54256934
406,lunge,22,jerk,0.8226263523101807,0.8910047,0.06837833,0.57204133,1.072343,0.50030166
412,lunge,4,rom,0.7134480476379395,0.7034766,0.00997144,0.31437257,0.91907096,0.6046984
416,gait,8,asymmetry+instability,0.6190273761749268,0.7475299,0.12850255,0.37651044,0.9135125,0.5370021
420,overhead_press,12,instability,0.8279041051864624,0.79571736,0.032186747,0.4396619,0.94685805,0.5071962
