index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.5779272,0.43111002,0.29658538,0.92595094,0.62936556
4,throw,4,clean,1.0,0.68552285,0.31447715,0.38741285,1.0194473,0.6320345
10,gait,10,asymmetry,0.7657848000526428,0.76687175,0.0010869503,0.4861906,1.1244317,0.6382412
11,lunge,11,asymmetry+tempo,0.4660068154335022,0.6275109,0.16150409,0.37684253,0.95711756,0.58027506
18,lunge,18,jerk+rom,0.6231351494789124,0.7060428,0.08290768,0.37463856,1.0386572,0.66401863
21,squat,21,asymmetry,0.7286849617958069,0.75409174,0.025406778,0.44823232,1.1029121,0.6546798
26,gait,2,instability+rom,0.6223016381263733,0.576606,0.045695662,0.3127369,0.93294394,0.6202071
28,overhead_press,4,compensation,0.6191835999488831,0.7028335,0.083649874,0.4394875,1.0111649,0.57167745
34,squat,10,compensation,0.796288013458252,0.8892077,0.09291971,0.7343978,1.2542952,0.5198974
35,overhead_press,11,asymmetry+instability+tempo,0.7932506799697876,0.7752386,0.018012106,0.5351956,1.1043271,0.5691315
42,lunge,18,clean,1.0,0.66867125,0.33132875,0.34643278,1.0148766,0.6684438
45,gait,21,rom+tempo,0.6019501090049744,0.6095409,0.0075907707,0.3577372,0.98581827,0.6280811
50,lunge,2,asymmetry,0.6527721881866455,0.7012084,0.048436224,0.4320924,1.0372522,0.60515976
52,throw,4,clean,1.0,0.7317438,0.2682562,0.38997385,1.0196997,0.6297258
58,throw,10,jerk,0.9456272125244141,0.7857744,0.1598528,0.4774542,1.0604076,0.58295345
59,throw,11,rom,0.9367360472679138,0.7792045,0.15753156,0.44615015,1.0668386,0.62068844
66,lunge,18,tempo,0.8553433418273926,0.6641465,0.19119686,0.31132486,0.9869876,0.67566276
69,gait,21,instability+rom,0.4477442800998688,0.52474594,0.07700166,0.2797597,0.84156054,0.56180084
74,lunge,2,instability+jerk,0.6647371053695679,0.6830211,0.018284023,0.3839114,1.0279151,0.64400375
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.7603014,0.09708798,0.42312446,1.0633202,0.6401957
82,gait,10,tempo,0.8107673525810242,0.5815301,0.22923726,0.33158675,0.9362385,0.6046518
83,gait,11,instability+jerk+rom,0.4363165497779846,0.7447067,0.30839014,0.46422166,1.0982285,0.6340068
90,lunge,18,clean,1.0,0.7135563,0.2864437,0.39300364,1.0442579,0.65125424
93,throw,21,asymmetry+rom+tempo,0.5758411884307861,0.71179444,0.13595325,0.39955768,1.0471021,0.6475444
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.6519622,0.19278443,0.34908426,0.99925846,0.6501742
100,throw,4,instability,0.7168699502944946,0.5529787,0.16389126,0.39826837,0.8448671,0.44659874
106,gait,10,rom+tempo,0.5957818627357483,0.68847984,0.09269798,0.42555407,1.0618126,0.6362586
107,overhead_press,11,jerk,0.9368828535079956,0.81124216,0.12564069,0.5354806,1.1266357,0.59115505
114,overhead_press,18,jerk,0.8139992356300354,0.7093083,0.10469091,0.39893642,1.0100565,0.6111201
117,throw,21,clean,1.0,0.73440695,0.26559305,0.41673717,1.0427002,0.625963
122,squat,2,clean,1.0,0.80357164,0.19642836,0.55416083,1.1604087,0.6062479
124,overhead_press,4,asymmetry,0.7296754121780396,0.72710985,0.0025655627,0.42681247,1.0614734,0.6346609
130,gait,10,asymmetry+jerk+rom,0.4293857514858246,0.5691752,0.13978943,0.29372498,0.89375365,0.60002863
131,lunge,11,tempo,0.8352254033088684,0.6676846,0.16754079,0.4020579,0.9929922,0.59093434
138,overhead_press,18,asymmetry+instability+rom,0.4867936670780182,0.57747966,0.09068599,0.3608504,0.8706366,0.5097862
141,lunge,21,rom,0.8736799359321594,0.77365685,0.10002309,0.4963071,1.0921216,0.59581447
146,overhead_press,2,instability,0.8017282485961914,0.6710101,0.13071817,0.3648219,0.9532861,0.5884642
148,overhead_press,4,clean,1.0,0.79011285,0.20988715,0.51153636,1.0905957,0.57905936
154,throw,10,compensation,0.6015304923057556,0.7934327,0.19190222,0.5097821,1.0751662,0.56538415
155,throw,11,instability+jerk,0.8403570055961609,0.7019943,0.1383627,0.40561005,1.0295588,0.6239487
162,throw,18,instability+tempo,0.6316795945167542,0.642141,0.01046139,0.32269898,0.99507976,0.6723808
165,gait,21,asymmetry,0.9303615689277649,0.7177273,0.21263427,0.42505318,1.0840082,0.65895504
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.6798166,0.016982138,0.37886944,1.0035604,0.624691
172,throw,4,compensation+instability,0.658443808555603,0.62291753,0.035526276,0.35233387,0.9829439,0.63061
178,throw,10,instability,0.7625966668128967,0.6901134,0.07248324,0.4075443,1.0016491,0.5941048
179,overhead_press,11,instability,0.7835549116134644,0.6965514,0.08700353,0.48331687,0.99580395,0.51248705
186,overhead_press,18,instability,0.8124698996543884,0.57495373,0.23751616,0.35473016,0.9018651,0.547135
189,overhead_press,21,clean,1.0,0.81609505,0.18390495,0.5154918,1.1119215,0.59642977
194,throw,2,clean,1.0,0.6722993,0.32770067,0.3641958,1.0097857,0.6455898
196,gait,4,instability+jerk,0.6014768481254578,0.50990045,0.0915764,0.2838065,0.8466868,0.5628803
202,lunge,10,asymmetry+instability+rom,0.6147244572639465,0.77528787,0.16056341,0.52508765,1.0761003,0.5510127
203,overhead_press,11,compensation+instability,0.5034309029579163,0.76638144,0.26295054,0.5224526,1.0653789,0.5429263
210,lunge,18,clean,1.0,0.70315784,0.29684216,0.37858033,1.0388391,0.66025877
213,gait,21,asymmetry+rom,0.49997907876968384,0.65234065,0.15236157,0.3605834,1.0265104,0.66592693
218,lunge,2,clean,1.0,0.73933524,0.26066476,0.44723466,1.0712793,0.62404466
220,squat,4,compensation+jerk,0.47195813059806824,0.77029675,0.29833862,0.51434016,1.1118306,0.59749043
226,gait,10,jerk,0.9328513145446777,0.79395753,0.13889378,0.49501947,1.1199845,0.6249651
227,overhead_press,11,tempo,0.8584722280502319,0.8290131,0.029459119,0.56301475,1.123693,0.56067824
234,lunge,18,asymmetry,0.6582695245742798,0.6432465,0.015023053,0.293293,0.9697845,0.6764915
237,throw,21,clean,1.0,0.71639484,0.28360516,0.40089738,1.0306585,0.6297611
242,gait,2,clean,1.0,0.708158,0.29184198,0.41450843,1.088523,0.67401457
244,lunge,4,asymmetry+compensation,0.5397172570228577,0.56746703,0.027749777,0.38449416,0.84236217,0.457868
250,throw,10,clean,1.0,0.77672577,0.22327423,0.46593156,1.0737545,0.607823
251,throw,11,asymmetry+instability,0.6759362816810608,0.7027898,0.026853502,0.41748312,1.0209754,0.60349226
258,gait,18,instability,0.8515012860298157,0.61798406,0.23351723,0.3394877,0.9746127,0.63512504
261,gait,21,jerk,0.847970187664032,0.72287416,0.12509602,0.4298121,1.0845755,0.65476346
266,throw,2,jerk+rom+tempo,0.6755517721176147,0.68801963,0.012467861,0.37289032,1.0436817,0.6707914
268,lunge,4,asymmetry+rom,0.599364697933197,0.72998977,0.13062507,0.4312688,1.0324314,0.60116255
274,squat,10,asymmetry,0.9371042251586914,0.8647344,0.072369814,0.7007542,1.2445716,0.54381734
275,squat,11,asymmetry,0.7198100090026855,0.7401519,0.020341873,0.45473167,1.0869992,0.6322675
282,gait,18,jerk+rom,0.5802179574966431,0.544735,0.035482943,0.26947612,0.90520376,0.63572764
285,overhead_press,21,tempo,0.7571746706962585,0.76152444,0.004349768,0.46826258,1.090668,0.6224054
290,squat,2,clean,1.0,0.81325924,0.18674076,0.5637962,1.1621752,0.59837896
292,gait,4,compensation,0.6597895622253418,0.5860604,0.07372916,0.32523432,0.9617474,0.6365131
298,lunge,10,rom,0.8551280498504639,0.81587684,0.03925121,0.57959867,1.1176815,0.53808284
299,overhead_press,11,clean,1.0,0.81039065,0.18960935,0.5542972,1.1247872,0.57049
306,squat,18,asymmetry+instability,0.6159713268280029,0.68012035,0.06414902,0.432161,0.9981302,0.5659692
309,lunge,21,clean,1.0,0.72012097,0.27987903,0.4325075,1.0494045,0.616897
314,lunge,2,asymmetry+instability+rom,0.4045167863368988,0.7101699,0.30565313,0.40290412,1.030489,0.6275848
316,gait,4,instability,0.8673028349876404,0.58433753,0.2829653,0.34943822,0.9505153,0.6010771
322,overhead_press,10,jerk+rom,0.533585250377655,0.82885927,0.29527402,0.55611587,1.140121,0.5840051
323,lunge,11,instability,0.7158548831939697,0.6169181,0.098936796,0.41904926,0.97011507,0.5510658
330,overhead_press,18,asymmetry+instability+jerk,0.7424558401107788,0.60574347,0.13671237,0.27584654,0.9017228,0.62587625
333,gait,21,jerk+tempo,0.7612156867980957,0.6119546,0.14926106,0.36137304,1.0088652,0.6474922
338,overhead_press,2,compensation+tempo,0.7860798239707947,0.7453716,0.040708244,0.44911662,1.0579404,0.6088238
340,squat,4,instability+rom,0.4305742383003235,0.5246691,0.09409487,0.24292341,0.89474344,0.65182006
346,gait,10,rom+tempo,0.6254249215126038,0.588254,0.037170947,0.38634136,0.9929546,0.6066133
347,lunge,11,asymmetry+compensation+rom,0.3447287976741791,0.8201647,0.47543588,0.5793099,1.1505831,0.57127327
