index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.34018826,0.19337113,0.19054648,1.4701848,1.2796383
4,throw,4,clean,1.0,0.36590543,0.6340946,0.09573529,1.4048333,1.309098
10,gait,2,asymmetry,0.7657848000526428,0.3402494,0.4255354,0.19123486,1.4704702,1.2792354
12,throw,4,instability+jerk+tempo,0.4109596312046051,0.3654391,0.045520544,0.0933428,1.4027588,1.309416
18,lunge,2,jerk+rom,0.6231351494789124,0.36380845,0.2593267,0.09842775,1.4114733,1.3130455
20,gait,4,asymmetry,0.7358472347259521,0.3448757,0.39097154,0.19088379,1.4495045,1.2586207
26,gait,2,instability+rom,0.6223016381263733,0.34010792,0.28219372,0.18991962,1.4693655,1.2794459
28,overhead_press,4,compensation,0.6191835999488831,0.35922933,0.25995427,0.10220493,1.4165777,1.3143728
34,squat,2,compensation,0.796288013458252,0.35809183,0.43819618,0.11041925,1.4279497,1.3175304
36,squat,4,asymmetry+rom+tempo,0.4428980052471161,0.36052224,0.082375765,0.111730225,1.4283667,1.3166364
42,lunge,2,clean,1.0,0.36411133,0.6358887,0.09859636,1.4111915,1.3125951
44,squat,4,clean,1.0,0.3580624,0.6419376,0.11215068,1.427976,1.3158253
50,lunge,2,asymmetry,0.6527721881866455,0.36440125,0.28837094,0.09765505,1.4109818,1.3133267
52,throw,4,clean,1.0,0.3661053,0.6338947,0.096734114,1.4056433,1.3089092
58,throw,2,jerk,0.9456272125244141,0.3656671,0.5799601,0.09468619,1.4053434,1.3106573
60,lunge,4,compensation,0.6757674217224121,0.36442518,0.31134224,0.10140551,1.4118696,1.3104641
66,lunge,2,tempo,0.8553433418273926,0.36402783,0.4913155,0.096642606,1.4110852,1.3144426
68,squat,4,asymmetry+rom,0.33917710185050964,0.3634288,0.0242517,0.113351725,1.4292728,1.3159211
74,lunge,2,instability+jerk,0.6647371053695679,0.36418456,0.30055255,0.09798134,1.4116414,1.31366
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.36644787,0.29676557,0.09703862,1.4055091,1.3084705
82,gait,2,tempo,0.8107673525810242,0.33974388,0.47102347,0.19008541,1.4699824,1.279897
84,throw,4,rom,0.6186443567276001,0.3657061,0.25293827,0.09537805,1.4047705,1.3093925
90,lunge,2,clean,1.0,0.36360306,0.63639694,0.0974519,1.411041,1.3135891
92,throw,4,clean,1.0,0.36614794,0.63385206,0.09667168,1.4050034,1.3083317
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.36499014,0.09418765,0.094175,1.4052032,1.3110282
100,throw,4,instability,0.7168699502944946,0.365327,0.35154295,0.09592617,1.4051815,1.3092554
106,gait,2,rom+tempo,0.5957818627357483,0.34016094,0.25562093,0.19043083,1.4698632,1.2794323
108,overhead_press,4,instability,0.8204297423362732,0.3598309,0.46059886,0.10503512,1.4196359,1.3146008
114,overhead_press,2,jerk,0.8139992356300354,0.3595348,0.45446444,0.10205244,1.4176631,1.3156106
116,throw,4,asymmetry,0.7175616025924683,0.36564898,0.35191262,0.09477464,1.4037455,1.3089709
122,squat,2,clean,1.0,0.35771704,0.64228296,0.10911951,1.4272939,1.3181744
124,overhead_press,4,asymmetry,0.7296754121780396,0.3602294,0.369446,0.103598244,1.4180657,1.3144674
130,gait,2,asymmetry+jerk+rom,0.4293857514858246,0.33999088,0.08939487,0.18981123,1.4697258,1.2799146
132,squat,4,rom,0.8633508682250977,0.357936,0.50541484,0.112715356,1.4293513,1.316636
138,overhead_press,2,asymmetry+instability+rom,0.4867936670780182,0.3608846,0.12590906,0.1035079,1.417352,1.3138441
140,gait,4,compensation+instability,0.31232917308807373,0.34476188,0.032432705,0.19334021,1.4514623,1.2581221
146,overhead_press,2,instability,0.8017282485961914,0.35972178,0.44200647,0.10383535,1.4184312,1.3145958
148,overhead_press,4,clean,1.0,0.35935923,0.64064074,0.103952475,1.4188317,1.3148792
154,throw,2,compensation,0.6015304923057556,0.36558756,0.23594293,0.09388044,1.4036267,1.3097463
156,overhead_press,4,compensation,0.9118240475654602,0.36008027,0.55174375,0.10341477,1.4176922,1.3142774
162,throw,2,instability+tempo,0.6316795945167542,0.36640418,0.26527542,0.096819006,1.4069513,1.3101323
164,squat,4,jerk,0.895587146282196,0.35834813,0.537239,0.113472424,1.4292207,1.3157482
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.36491916,0.3318796,0.09843985,1.4121705,1.3137307
172,throw,4,compensation+instability,0.658443808555603,0.36567715,0.29276666,0.09532646,1.4041995,1.308873
178,throw,2,instability,0.7625966668128967,0.36511073,0.39748594,0.09342571,1.4042671,1.3108413
180,overhead_press,4,asymmetry+rom,0.5517095923423767,0.3598958,0.1918138,0.10155056,1.4170606,1.31551
186,overhead_press,2,instability,0.8124698996543884,0.35946238,0.45300752,0.101234294,1.4164172,1.3151829
188,gait,4,jerk,0.8152839541435242,0.34489122,0.47039273,0.19157577,1.4506459,1.2590702
194,throw,2,clean,1.0,0.365357,0.63464296,0.0938097,1.4041132,1.3103034
196,gait,4,instability+jerk,0.6014768481254578,0.3450956,0.25638124,0.19194639,1.4504086,1.2584622
