index,action,subject,combination,quality,score,abs_error,lower,upper,width
2,gait,2,asymmetry+jerk+rom,0.1468171328306198,0.30066493,0.1538478,-0.19129713,1.1207788,1.312076
4,throw,4,clean,1.0,0.38046905,0.6195309,-0.08342206,1.2907196,1.3741417
10,gait,2,asymmetry,0.7657848000526428,0.30067065,0.46511415,-0.19289489,1.1179488,1.3108437
12,throw,4,instability+jerk+tempo,0.4109596312046051,0.3796226,0.031337023,-0.08738868,1.2871641,1.3745527
18,lunge,2,jerk+rom,0.6231351494789124,0.44679686,0.17633829,0.03667341,1.3067147,1.2700412
20,gait,4,asymmetry,0.7358472347259521,0.28913882,0.4467084,-0.22602527,1.0978937,1.3239189
26,gait,2,instability+rom,0.6223016381263733,0.30039617,0.32190546,-0.18993445,1.1229577,1.3128922
28,overhead_press,4,compensation,0.6191835999488831,0.41471085,0.20447275,-0.028016767,1.358485,1.3865018
34,squat,2,compensation,0.796288013458252,0.44947436,0.34681365,0.08244426,1.3573633,1.274919
36,squat,4,asymmetry+rom+tempo,0.4428980052471161,0.45124182,0.008343816,0.09011853,1.3625015,1.272383
42,lunge,2,clean,1.0,0.4464732,0.55352676,0.036403984,1.3070251,1.2706211
44,squat,4,clean,1.0,0.4571539,0.5428461,0.08588026,1.3449924,1.2591121
50,lunge,2,asymmetry,0.6527721881866455,0.44189227,0.21087992,0.036785334,1.313647,1.2768617
52,throw,4,clean,1.0,0.38162625,0.61837375,-0.08068357,1.2936766,1.3743602
58,throw,2,jerk,0.9456272125244141,0.38188305,0.5637442,-0.08232463,1.2947191,1.3770437
60,lunge,4,compensation,0.6757674217224121,0.45695132,0.2188161,0.044635892,1.2996777,1.2550418
66,lunge,2,tempo,0.8553433418273926,0.4452307,0.41011265,0.03702896,1.308586,1.2715571
68,squat,4,asymmetry+rom,0.33917710185050964,0.44528615,0.10610905,0.089090705,1.3714895,1.2823988
74,lunge,2,instability+jerk,0.6647371053695679,0.44508207,0.21965504,0.034849048,1.3064129,1.2715639
76,throw,4,jerk+rom+tempo,0.6632134318351746,0.38164702,0.2815664,-0.06679418,1.3036969,1.370491
82,gait,2,tempo,0.8107673525810242,0.30066237,0.510105,-0.1923428,1.119684,1.3120267
84,throw,4,rom,0.6186443567276001,0.3796347,0.23900965,-0.08332916,1.2906101,1.3739393
90,lunge,2,clean,1.0,0.44475827,0.5552417,0.03449814,1.3061329,1.2716348
92,throw,4,clean,1.0,0.38128078,0.6187192,-0.07922361,1.2960002,1.3752239
98,throw,2,asymmetry+instability+jerk,0.45917779207229614,0.38382703,0.07535076,-0.0863993,1.2902231,1.3766224
100,throw,4,instability,0.7168699502944946,0.3830605,0.33380947,-0.08085395,1.2904005,1.3712544
106,gait,2,rom+tempo,0.5957818627357483,0.3005695,0.29521236,-0.19045703,1.1209215,1.3113785
108,overhead_press,4,instability,0.8204297423362732,0.41376877,0.40666097,-0.019572517,1.3668921,1.3864646
114,overhead_press,2,jerk,0.8139992356300354,0.41386536,0.40013388,-0.031041173,1.3555772,1.3866184
116,throw,4,asymmetry,0.7175616025924683,0.3794739,0.3380877,-0.08745159,1.2913243,1.3787758
122,squat,2,clean,1.0,0.44760808,0.5523919,0.08161669,1.3594162,1.2777996
124,overhead_press,4,asymmetry,0.7296754121780396,0.41506603,0.31460938,-0.03234604,1.3560369,1.3883829
130,gait,2,asymmetry+jerk+rom,0.4293857514858246,0.30055112,0.12883464,-0.1913334,1.120583,1.3119165
132,squat,4,rom,0.8633508682250977,0.4552124,0.40813845,0.08834881,1.3505049,1.262156
138,overhead_press,2,asymmetry+instability+rom,0.4867936670780182,0.40972954,0.07706413,-0.03551463,1.3513608,1.3868754
140,gait,4,compensation+instability,0.31232917308807373,0.2887211,0.023608059,-0.22380392,1.0994152,1.3232191
146,overhead_press,2,instability,0.8017282485961914,0.41476217,0.38696608,-0.023391528,1.3639507,1.3873422
148,overhead_press,4,clean,1.0,0.41459227,0.58540773,-0.030998422,1.3543684,1.3853669
154,throw,2,compensation,0.6015304923057556,0.3817276,0.21980289,-0.08817429,1.2899241,1.3780985
156,overhead_press,4,compensation,0.9118240475654602,0.41510487,0.49671918,-0.028261563,1.3568424,1.385104
162,throw,2,instability+tempo,0.6316795945167542,0.38109303,0.25058657,-0.07618757,1.2985759,1.3747635
164,squat,4,jerk,0.895587146282196,0.45504692,0.44054022,0.08756361,1.3504555,1.2628919
170,lunge,2,asymmetry+jerk,0.6967987418174744,0.4391243,0.25767446,0.034187697,1.312795,1.2786074
172,throw,4,compensation+instability,0.658443808555603,0.38103595,0.27740785,-0.0681658,1.3052243,1.3733901
178,throw,2,instability,0.7625966668128967,0.38363183,0.37896484,-0.07890334,1.3014448,1.3803481
180,overhead_press,4,asymmetry+rom,0.5517095923423767,0.4136645,0.1380451,-0.025571434,1.3656347,1.3912061
186,overhead_press,2,instability,0.8124698996543884,0.41371605,0.39875385,-0.03357417,1.3514347,1.3850089
188,gait,4,jerk,0.8152839541435242,0.28937235,0.52591157,-0.22411881,1.0995905,1.3237094
194,throw,2,clean,1.0,0.382085,0.61791503,-0.07860299,1.2996628,1.3782659
196,gait,4,instability+jerk,0.6014768481254578,0.28875285,0.312724,-0.22288357,1.1013521,1.3242357
