method,n_train,spearman,train_seconds
saqa_stgcn,100,0.011337206012147714,55.29111949997605
tcn,100,0.09842331393817685,19.24013510000077
frame_average,100,0.0252957780109593,0.9908604999945965
kinematic_gbr,100,0.2624438410638267,
saqa_stgcn,250,0.3092423570252418,113.57982099999208
tcn,250,0.227269777761477,19.442972100019688
frame_average,250,0.04724495954517874,2.17552039999282
kinematic_gbr,250,0.40752608524343054,
saqa_stgcn,500,0.3657503479996043,197.22579519997817
tcn,500,0.30303982902687177,20.70089680000092
frame_average,500,0.18866259790801465,3.4097232000203803
kinematic_gbr,500,0.6173499552083764,
saqa_stgcn,638,0.3842210380103734,261.61484070000006
tcn,638,0.33051168304172296,30.014708900009282
frame_average,638,0.23813285376606178,4.669106300018029
kinematic_gbr,638,0.5968458511830146,
