config,val_spearman,test_spearman,test_kendall_tau,test_pearson,test_relative_l2,test_mae,test_rmse,test_tie_fraction_truth,test_n
dtw_l2_band0.15_canonical,0.5971606980450884,0.4995916654008075,0.34668054397871234,0.48296840772915783,0.24074188736053279,0.14522747785664747,0.18101399973990914,0.14,250.0
dtw_l2_band0.15_exemplar,0.5499023540717299,0.3988105630707155,0.2801743658644048,0.41133583769781357,0.25357179335706853,0.15485237825871073,0.19066081536548407,0.14,250.0
dtw_l2_unbanded_canonical,0.5971606980450884,0.4995916654008075,0.34668054397871234,0.48296840772915783,0.24074188736053279,0.14522747785664747,0.18101399973990914,0.14,250.0
dtw_l2_unbanded_exemplar,0.5499023540717299,0.3988105630707155,0.2801743658644048,0.41133583769781357,0.25357179335706853,0.15485237825871073,0.19066081536548407,0.14,250.0
dtw_per_joint_norm_band0.15_canonical,0.4371285471911319,0.39644977768175105,0.273759469139987,0.3940239624482562,0.2516525530800181,0.15302233523566144,0.18921773720895804,0.14,250.0
dtw_per_joint_norm_band0.15_exemplar,0.4765305619641732,0.3979045636958356,0.2760018727261059,0.384200069106224,0.25599744424456405,0.1562220102947655,0.19248466402735262,0.14,250.0
dtw_per_joint_norm_unbanded_canonical,0.4371285471911319,0.39644977768175105,0.273759469139987,0.3940239624482562,0.2516525530800181,0.15302233523566144,0.18921773720895804,0.14,250.0
dtw_per_joint_norm_unbanded_exemplar,0.4765305619641732,0.3979045636958356,0.2760018727261059,0.384200069106224,0.25599744424456405,0.1562220102947655,0.19248466402735262,0.14,250.0
dtw_velocity_cosine_band0.15_canonical,0.4021413351869755,0.32444213076576917,0.23578631543950335,0.3575417573862633,0.2552790911929266,0.1538402424261543,0.19194453384673502,0.14,250.0
dtw_velocity_cosine_band0.15_exemplar,0.34918712229281906,0.31907119789448524,0.22538863413175583,0.31735777944568055,0.2622387939737046,0.1583243889315229,0.1971775394161519,0.14,250.0
dtw_velocity_cosine_unbanded_canonical,0.4021413351869755,0.32444213076576917,0.23578631543950335,0.3575417573862633,0.2552790911929266,0.1538402424261543,0.19194453384673502,0.14,250.0
dtw_velocity_cosine_unbanded_exemplar,0.34918712229281906,0.31907119789448524,0.22538863413175583,0.31735777944568055,0.2622387939737046,0.1583243889315229,0.1971775394161519,0.14,250.0
